cik,company,sic,accession,document,file_date,period_ending,items,discovery_phrase,url,lead_source,doc_chars,has_fda_context,flag_warning_letter,body_mentions_warning_letter,flag_adverse_event,body_mentions_adverse_event,flag_recall,body_mentions_recall,flag_untitled_letter,body_mentions_untitled_letter,n_flags,n_flags_incl_untitled,domain_device_hits,domain_device_lead_hits,domain_drug_hits,domain_drug_lead_hits,domain_biologic_hits,domain_biologic_lead_hits,product_domain,is_device_domain,sic_bucket,device_evidence
1127393,HEMOSENSE INC  (CIK 0001127393),3841.0,0001193125-06-256297,d8k.htm,2006-12-19,2006-12-13,8.01,"""warning letter""",https://www.sec.gov/Archives/edgar/data/1127393/000119312506256297/d8k.htm,item_anchored,2856,True,True,True,False,False,False,False,False,False,1,1,0,0,0,0,0,0,unspecified,False,device,sic_fallback
943819,"RESMED INC  (RMD, RSMDF)  (CIK 0000943819)",3841.0,0001193125-07-087773,dex991.htm,2007-04-23,2007-04-23,2.02; 9.01,"""product recall""; ""voluntary recall""",https://www.sec.gov/Archives/edgar/data/943819/000119312507087773/dex991.htm,exhibit_top,18297,True,False,False,False,False,True,True,False,False,1,1,0,0,0,0,0,0,unspecified,False,device,sic_fallback
943819,"RESMED INC  (RMD, RSMDF)  (CIK 0000943819)",3841.0,0001193125-07-087773,dex992.htm,2007-04-23,2007-04-23,2.02; 9.01,"""voluntary recall""",https://www.sec.gov/Archives/edgar/data/943819/000119312507087773/dex992.htm,exhibit_top,3939,True,False,False,False,True,True,True,False,False,1,1,0,0,0,0,0,0,unspecified,False,device,sic_fallback
943819,"RESMED INC  (RMD, RSMDF)  (CIK 0000943819)",3841.0,0001193125-07-173739,dex991.htm,2007-08-07,2007-08-07,2.02; 9.01,"""product recall""",https://www.sec.gov/Archives/edgar/data/943819/000119312507173739/dex991.htm,exhibit_top,17504,True,False,False,False,False,True,True,False,False,1,1,0,0,0,0,0,0,unspecified,False,device,sic_fallback
878526,NATUS MEDICAL INC  (CIK 0000878526),3845.0,0001193125-07-232296,d8k.htm,2007-11-01,2007-11-01,8.01; 9.01,"""warning letter""",https://www.sec.gov/Archives/edgar/data/878526/000119312507232296/d8k.htm,item_anchored,2917,True,True,True,False,False,False,False,False,False,1,1,0,0,0,0,0,0,unspecified,False,device,sic_fallback
878526,NATUS MEDICAL INC  (CIK 0000878526),3845.0,0001193125-07-232296,dex991.htm,2007-11-01,2007-11-01,8.01; 9.01,"""warning letter""",https://www.sec.gov/Archives/edgar/data/878526/000119312507232296/dex991.htm,exhibit_top,15852,True,True,True,False,False,False,False,False,False,1,1,12,0,0,0,0,0,device,True,device,text
815065,STERIS CORP  (CIK 0000815065),3842.0,0001193125-08-123754,d8k.htm,2008-05-28,2008-05-16,8.01,"""warning letter""",https://www.sec.gov/Archives/edgar/data/815065/000119312508123754/d8k.htm,item_anchored,6964,True,True,True,False,False,False,False,False,False,1,1,2,0,0,0,0,0,device,True,device,text
943819,"RESMED INC  (RMD, RSMDF)  (CIK 0000943819)",3841.0,0001193125-08-166458,dex991.htm,2008-08-05,2008-08-05,2.02; 9.01,"""product recall""; ""voluntary recall""",https://www.sec.gov/Archives/edgar/data/943819/000119312508166458/dex991.htm,exhibit_top,10374,True,False,False,False,False,True,True,False,False,1,1,0,0,0,0,0,0,unspecified,False,device,sic_fallback
815065,STERIS CORP  (CIK 0000815065),3842.0,0001193125-09-008008,d8k.htm,2009-01-20,2009-01-20,8.01; 9.01,"""warning letter""",https://www.sec.gov/Archives/edgar/data/815065/000119312509008008/d8k.htm,item_anchored,12638,True,True,True,False,False,False,False,False,False,1,1,4,1,0,0,0,0,device,True,device,text
815065,STERIS CORP  (CIK 0000815065),3842.0,0001193125-09-008008,dex991.htm,2009-01-20,2009-01-20,8.01; 9.01,"""warning letter""",https://www.sec.gov/Archives/edgar/data/815065/000119312509008008/dex991.htm,exhibit_top,8200,True,True,True,False,False,False,False,False,False,1,1,1,0,0,0,0,0,device,True,device,text
