normalized_name,firm_name_fda,gvkey,company_name_compustat,match_source,review_suggested,valid_from_year,valid_to_year,crosswalk_origin,source,n_records,match_status,n_gvkey_candidates,sic,costat,cik,cross_entity_family
LIVANOVA,LivaNova USA Inc.,27810.0,LIVANOVA PLC,exact_normalized,True,1900,2099,letter_crosswalk,,,,,,,,
LOREAL,Loreal,100581.0,LOREAL SA,exact_normalized,False,1900,2099,letter_crosswalk,,,,,,,,
MEDTRONIC MINIMED,"Medtronic MiniMed, Inc.",61059.0,MINIMED INC,ct_dropped_device,False,1900,2099,letter_crosswalk,,,,,,,,
MEDLINE INDUSTRIES,"Medline Industries, LP",7224.0,MEDLINE INDUSTRIES INC,exact_normalized,False,1900,2099,letter_crosswalk,,,,,,,,
MEDIVATORS,Medivators Inc,24498.0,MEDIVATORS INC,exact_normalized,False,1900,2099,letter_crosswalk,,,,,,,,
MEDICAL INNOVATIONS,Medical Innovations,15852.0,MEDICAL INNOVATIONS INC,exact_normalized,False,1900,2099,letter_crosswalk,,,,,,,,
MEDX HEALTH,MedX Health Corp,164696.0,MEDX HEALTH CORP,exact_normalized,False,1900,2099,letter_crosswalk,,,,,,,,
MEDLINE INDUSTRIES NAMIC DIVISION,"MedLine Industries, LP (NAMIC Division)",7224.0,MEDLINE INDUSTRIES INC,parent_prefix,True,1900,2099,letter_crosswalk,,,,,,,,
MEASUREMENT SPECIALTIES,"Measurement Specialties, Inc.",12236.0,MEASUREMENT SPECIALTIES INC,exact_normalized,False,1900,2099,letter_crosswalk,,,,,,,,
MCKESSON,McKesson Corporation,7171.0,MCKESSON CORP,exact_normalized,False,1900,2099,letter_crosswalk,,,,,,,,
MATRIXX INITIATIVES,"Matrixx Initiatives, Inc.",62700.0,MATRIXX INITIATIVES INC,exact_normalized,False,1900,2099,letter_crosswalk,,,,,,,,
MASIMO,Masimo Corporation,177881.0,MASIMO CORP,exact_normalized,False,1900,2099,letter_crosswalk,,,,,,,,
MARKET AMERICA,Market America Inc,31057.0,MARKET AMERICA INC,exact_normalized,False,1900,2099,letter_crosswalk,,,,,,,,
MANNATECH,Mannatech Inc,112968.0,MANNATECH INC,exact_normalized,False,1900,2099,letter_crosswalk,,,,,,,,
MANNKIND,MannKind Corporation,160340.0,MANNKIND CORP,exact_normalized,False,1900,2099,letter_crosswalk,,,,,,,,
MAGNA PHARMACEUTICALS,Magna Pharmaceuticals Inc,13053.0,MAGNA GROUP INC,ct_dropped_device,False,1900,2099,letter_crosswalk,,,,,,,,
MIT,MIT,176745.0,MIT HOLDING INC,exact_normalized,False,1900,2099,letter_crosswalk,,,,,,,,
LUMINEX,Luminex Corporation,133504.0,LUMINEX CORP,exact_normalized,False,1900,2099,letter_crosswalk,,,,,,,,
PHILIPS RESPIRONICS,"Philips Respironics, Inc.",14385.0,RESPIRONICS INC,ct_dropped_device,False,1900,2099,letter_crosswalk,,,,,,,,
PIONEER SURGICAL TECHNOLOGY,Pioneer Surgical Technology Inc.,8594.0,PIONEER CORP,ct_dropped_device,False,1900,2099,letter_crosswalk,,,,,,,,
KROGER,The Kroger Co.,6502.0,KROGER CO,exact_normalized,False,1900,2099,letter_crosswalk,,,,,,,,
FOODS,"US Foods, Inc.",18312.0,US FOODS HOLDING CORP,exact_normalized,False,1900,2099,letter_crosswalk,,,,,,,,
TROPIC TRADING,Tropic Trading Co.,26120.0,TROPIC TRADING LTD,exact_normalized,True,1900,2099,letter_crosswalk,,,,,,,,
TOWN AND COUNTRY COMPOUNDING AND CONSULTATION SERVICES,"Town and Country Compounding and Consultation Services, LLC",10634.0,TOWN & COUNTRY CORP  -CL A,parent_prefix,True,1900,2099,letter_crosswalk,,,,,,,,
THORATEC,Thoratec LLC,10550.0,THORATEC CORP,exact_normalized,False,1900,2099,letter_crosswalk,,,,,,,,
WELLNESS CENTER PHARMACY DESIGNER DRUGS,"The Wellness Center Pharmacy, Inc., dba Designer Drugs",170692.0,WELLNESS CENTER USA INC,parent_prefix,True,1900,2099,letter_crosswalk,,,,,,,,
QUAKER OATS,The Quaker Oats Co.,8852.0,QUAKER OATS CO,exact_normalized,False,1900,2099,letter_crosswalk,,,,,,,,
PROCTER AND GAMBLE,The Procter & Gamble Co.,8762.0,PROCTER & GAMBLE CO,exact_normalized,False,1900,2099,letter_crosswalk,,,,,,,,
LENNOX,"The Lennox International, Inc",122380.0,LENNOX INTERNATIONAL INC,exact_normalized,False,1900,2099,letter_crosswalk,,,,,,,,
HERSHEY,The Hershey Company,5597.0,HERSHEY CO,exact_normalized,False,1900,2099,letter_crosswalk,,,,,,,,
TELEMED,TELEMED,10409.0,TELEMED CORP,exact_normalized,False,1900,2099,letter_crosswalk,,,,,,,,
HAIN CELESTIAL,"The Hain Celestial Group, Inc.",29609.0,HAIN CELESTIAL GROUP INC,exact_normalized,False,1900,2099,letter_crosswalk,,,,,,,,
COCA COLA,The Coca-Cola Company,3144.0,COCA-COLA CO,exact_normalized,False,1900,2099,letter_crosswalk,,,,,,,,
CHERRY,"The Cherry Co., Ltd.",2975.0,CHERRY CORP,exact_normalized,True,1900,2099,letter_crosswalk,,,,,,,,
TEVA PHARMACEUTICAL INDUSTRIES,Teva Pharmaceutical Industries,14538.0,TEVA PHARMACEUTICALS,exact_normalized,False,1900,2099,letter_crosswalk,,,,,,,,
TERCICA,Tercica,156293.0,TERCICA INC,exact_normalized,False,1900,2099,letter_crosswalk,,,,,,,,
TECHTRONIC INDUSTRIES DONGGUAN,Techtronic Industries (Dongguan) Co. Ltd.,103409.0,TECHTRONIC INDUSTRIES CO LTD,parent_prefix,True,1900,2099,letter_crosswalk,,,,,,,,
TAKEDA PHARMACEUTICAL,Takeda Pharmaceutical Company Limited,100718.0,TAKEDA PHARMACEUTICAL CO LTD,exact_normalized,False,1900,2099,letter_crosswalk,,,,,,,,
LAB RESEARCH,Us Lab Research,175321.0,LAB RESEARCH INC,exact_normalized,False,1900,2099,letter_crosswalk,,,,,,,,
VARIAN MEDICAL SYSTEMS,"Varian Medical Systems, Inc.",11115.0,VARIAN MEDICAL SYSTEMS INC,exact_normalized,False,1900,2099,letter_crosswalk,,,,,,,,
VIRBAC,Virbac Corporation,30451.0,VIRBAC CORP,exact_normalized,False,1900,2099,letter_crosswalk,,,,,,,,
VITA FOOD PRODUCTS,"Vita Food Products, Inc.",64760.0,VITA FOOD PRODUCTS INC,exact_normalized,False,1900,2099,letter_crosswalk,,,,,,,,
21ST CENTURY SCIENTIFIC,21st Century Scientific Inc,10771.0,21ST CENTURY GROUP INC,parent_prefix,True,1900,2099,letter_crosswalk,,,,,,,,
ISATORI,"iSatori, Inc.",171057.0,ISATORI INC,exact_normalized,False,1900,2099,letter_crosswalk,,,,,,,,
IRHYTHM TECHNOLOGIES,"iRhythm Technologies, Inc.",28367.0,IRHYTHM HOLDINGS INC,ct_fuzzy,False,1900,2099,letter_crosswalk,,,,,,,,
