recalling_firm,n_recalls,n_fei,first_action,last_action,normalized_name
Ventana Medical Systems Inc,53,1,2002-10-07,2022-06-01,VENTANA MEDICAL SYSTEMS
"Roche Molecular Systems, Inc.",53,1,2007-03-09,2022-12-21,ROCHE MOLECULAR SYSTEMS
Acumed LLC,51,1,2005-12-27,2026-05-28,ACUMED
"Stradis Healthcare, LLC.",51,1,2015-04-20,2015-04-20,STRADIS HEALTHCARE
"Medical Device Technologies, Inc.",50,1,2004-03-02,2010-12-22,MEDICAL DEVICE TECHNOLOGIES
Linkbio Corp.,50,1,2023-03-21,2026-03-12,LINKBIO
Waldemar Link GmbH & Co. KG (Mfg Site) Oststr. 4-10 Norderstedt Germany,49,1,2018-12-04,2025-11-10,WALDEMAR LINK AND KG MFG SITE OSTSTR 4 10 NORDERSTEDT GERMANY
"Skeletal Kinetics, Llc",49,1,2015-05-29,2020-04-06,SKELETAL KINETICS
"Canon Medical System, USA, INC.",49,1,2018-04-18,2025-12-19,CANON MEDICAL SYSTEM
Guidant Corp-Cpi Division,49,1,2003-05-06,2004-03-11,GUIDANT CPI DIVISION
"Ethicon, Inc. Us",49,1,2017-08-17,2024-04-23,ETHICON
Bausch & Lomb Inc Irb,48,1,2015-09-03,2017-03-03,BAUSCH AND LOMB IRB
"Spire Biomedical, Inc. One Patriots Park",48,1,2009-10-23,2009-10-23,SPIRE BIOMEDICAL ONE PATRIOTS PARK
Abbott Point Of Care Inc.,48,1,2006-09-25,2026-04-01,ABBOTT POINT OF CARE
Getinge Usa Sales Inc,48,1,2021-12-09,2025-01-15,GETINGE SALES
RAYSEARCH LABORATORIES AB Eugeniavagen 18c Stockholm Sweden,47,1,2023-02-17,2026-05-20,RAYSEARCH LABORATORIES EUGENIAVAGEN 18C STOCKHOLM SWEDEN
"ARROW INTERNATIONAL, LLC",47,1,2026-03-11,2026-04-21,ARROW
ARROW INTERNATIONAL Inc.,47,1,2022-05-05,2024-07-26,ARROW
Oridion Medical 1987 Ltd. Har Hotzvim Industrial,47,1,2018-07-31,2025-02-17,ORIDION MEDICAL 1987 HAR HOTZVIM INDUSTRIAL
"Riverpoint Medical, LLC",47,1,2012-12-13,2023-10-25,RIVERPOINT MEDICAL
"CME America, LLC",47,1,2015-01-16,2020-07-30,CME AMERICA
"SEDECAL SA Pelaya, 9 Pol. Pol. Ind. Rio De Janeiro Algete Spain",46,1,2025-06-10,2025-06-10,SEDECAL PELAYA 9 POL POL IND RIO DE JANEIRO ALGETE SPAIN
Baxter Healthcare Renal Div,46,1,2003-05-28,2012-07-06,BAXTER HEALTHCARE RENAL DIV
Haemonetics Corporation,46,1,2002-12-17,2022-04-26,HAEMONETICS
"Medical Components, Inc dba MedComp",46,1,2005-09-15,2021-01-13,MEDICAL COMPONENTS MEDCOMP
RAYSEARCH LABORATORIES AB Sveavagen 9 Stockholm Sweden,46,1,2017-11-20,2022-06-10,RAYSEARCH LABORATORIES SVEAVAGEN 9 STOCKHOLM SWEDEN
"Smiths Medical PM, Inc.",45,1,2005-01-05,2008-04-02,SMITHS MEDICAL PM
Hitachi Medical Systems America Inc,45,1,2004-05-07,2021-03-01,HITACHI MEDICAL SYSTEMS AMERICA
St Jude Medical CRMD,44,1,2006-06-01,2012-04-03,ST JUDE MEDICAL CRMD
BioMerieux SA Chemin De L'Orme Marcy L'Etoile France,44,1,2013-04-17,2021-06-22,BIOMERIEUX CHEMIN DE L ORME MARCY L ETOILE FRANCE
Oasis Medical Inc,44,1,2005-08-24,2007-07-18,OASIS MEDICAL
"Synthes, Inc.",43,1,2012-01-06,2020-06-18,SYNTHES
"Degania Silicone, Ltd. Degania Bet Dganya Bet Israel",43,1,2017-01-31,2019-12-02,DEGANIA SILICONE DEGANIA BET DGANYA BET ISRAEL
Abbott Medical,43,4,2019-10-14,2026-05-12,ABBOTT MEDICAL
Abbott Vascular,43,2,2010-09-10,2022-09-08,ABBOTT VASCULAR
"Avid Medical, Inc.",42,1,2015-10-05,2021-04-09,AVID MEDICAL
"BioFire Diagnostics, LLC",42,1,2018-03-14,2026-04-22,BIOFIRE DIAGNOSTICS
Becton Dickinson Medical Systems,42,1,2005-03-25,2009-10-19,BECTON DICKINSON MEDICAL SYSTEMS
Guidant Corporation,42,1,2005-06-13,2006-09-30,GUIDANT
Alcon Research LLC Aspex Facility,42,1,2020-04-17,2024-07-15,ALCON RESEARCH ASPEX FACILITY
EXP Pharmaceutical Services Corp,42,1,2015-02-11,2015-02-11,EXP PHARMACEUTICAL SERVICES
"Biomet Microfixation, Inc.",41,1,2008-03-19,2011-11-23,BIOMET MICROFIXATION
"Diagnostica Stago, Inc.",41,1,2002-12-04,2026-02-05,DIAGNOSTICA STAGO
Baxa Corporation,40,1,2003-11-07,2013-08-22,BAXA
Zimmer Dental Inc,40,2,2004-01-13,2018-05-10,ZIMMER DENTAL
Maquet Medical Systems USA,40,1,2013-09-12,2024-04-15,MAQUET MEDICAL SYSTEMS
"Physio-Control, Inc.",39,1,2010-03-11,2026-04-13,PHYSIO CONTROL
Diasorin Inc.,39,1,2003-09-10,2024-11-07,DIASORIN
Roche Diagnostics Corporation,39,1,2016-12-27,2019-06-03,ROCHE DIAGNOSTICS
"Mindray DS USA, Inc. dba Mindray North America",39,1,2013-10-07,2025-11-18,MINDRAY DS MINDRAY NORTH AMERICA
Medtronic Sofamor Danek Instrument Manufacturing,39,1,2005-11-28,2006-12-18,MEDTRONIC SOFAMOR DANEK INSTRUMENT MANUFACTURING
"Medtronic Xomed, Inc.",38,1,2002-01-25,2025-07-17,MEDTRONIC XOMED
Instrumentation Laboratory,38,1,2021-08-25,2026-01-20,INSTRUMENTATION LABORATORY
"Instrumed International, Inc.",38,1,2014-05-30,2014-09-08,INSTRUMED
"Fujifilm Medical Systems U.S.A., Inc.",37,2,2015-02-03,2021-04-30,FUJIFILM MEDICAL SYSTEMS U S A
PHILIPS MEDICAL SYSTEMS NEDERLAND B.V. Veenpluis,37,1,2023-12-07,2026-04-30,PHILIPS MEDICAL SYSTEMS NEDERLAND B V VEENPLUIS
"Oscor, Inc.",37,1,2008-01-29,2021-03-10,OSCOR
"Burlington Medical, LLC",37,1,2019-06-07,2026-02-11,BURLINGTON MEDICAL
"BioPro, Inc.",37,1,2019-06-25,2025-09-09,BIOPRO
"Trumpf Medical Systems, Inc.",37,1,2009-02-27,2017-12-15,TRUMPF MEDICAL SYSTEMS
Synergetics Inc,37,1,2013-07-30,2024-06-12,SYNERGETICS
"Ethicon, Inc. US",37,1,2006-01-04,2016-08-01,ETHICON
Nova Biomedical Corporation,36,1,2003-09-22,2024-11-20,NOVA BIOMEDICAL
Centurion Medical Products,36,1,2009-09-22,2010-12-06,CENTURION MEDICAL PRODUCTS
"Merit Medical Systems, Inc",36,1,2003-02-13,2007-08-15,MERIT MEDICAL SYSTEMS
Bard Access Systems,36,1,2010-01-14,2016-12-19,BARD ACCESS SYSTEMS
"Churchill Medical Systems, Inc.",36,1,2009-10-20,2015-01-15,CHURCHILL MEDICAL SYSTEMS
"Becton, Dickinson and Company, BD Biosciences",35,1,2015-07-17,2024-05-08,BECTON DICKINSON AND BD BIOSCIENCES
"Coloplast Manufacturing US, LLC",34,2,2009-10-06,2024-12-02,COLOPLAST MANUFACTURING
Sterilmed Inc,34,2,2008-08-08,2017-06-02,STERILMED
"NxStage Medical, Inc.",34,1,2004-04-14,2019-08-27,NXSTAGE MEDICAL
"Ivoclar Vivadent, Inc.",34,1,2013-09-23,2023-12-21,IVOCLAR VIVADENT
The Metrix Company,33,1,2016-06-23,2024-10-09,METRIX
"Disetronic Medical Systems, Inc.",33,1,2006-03-31,2009-04-30,DISETRONIC MEDICAL SYSTEMS
"Winco Mfg., LLC",33,1,2011-10-17,2016-06-29,WINCO MFG
"SpineFrontier, Inc.",33,1,2008-05-10,2019-06-13,SPINEFRONTIER
Inpeco S.A. Via San Gottardo 10 Lugano Switzerland,33,1,2016-10-04,2025-10-30,INPECO S A VIA SAN GOTTARDO 10 LUGANO SWITZERLAND
"Custom Healthcare Systems, Inc.",33,1,2012-11-26,2019-12-20,CUSTOM HEALTHCARE SYSTEMS
"Orthofix, Inc",33,1,2007-09-28,2018-04-06,ORTHOFIX
SCC Soft Computer,33,1,2001-01-09,2014-11-26,SCC SOFT COMPUTER
"Aspen Surgical Products, Inc.",33,1,2003-04-30,2021-07-23,ASPEN SURGICAL PRODUCTS
American Medical Systems Innovation Center Silicon Valley,32,1,2015-05-28,2015-05-28,AMERICAN MEDICAL SYSTEMS INNOVATION CENTER SILICON VALLEY
Misys Healthcare Systems,32,1,2002-12-20,2005-09-29,MISYS HEALTHCARE SYSTEMS
Computerized Medical Systems Inc,32,1,2006-11-09,2012-04-30,COMPUTERIZED MEDICAL SYSTEMS
TELEFLEX MEDICAL INC,32,1,2019-10-11,2022-04-11,TELEFLEX MEDICAL
AGA Medical Corporation,32,1,2004-11-23,2010-12-17,AGA MEDICAL
