recalling_firm,n_recalls,n_fei,first_action,last_action,normalized_name
"Fisher Diagnostic, A Company of Fisher Scientific LLC",2,1,2004-07-01,2004-09-03,FISHER DIAGNOSTIC A OF FISHER SCIENTIFIC
Fisher Scientific Co,2,1,2013-06-05,2014-02-05,FISHER SCIENTIFIC
"Breg Inc, An Orthofix Company",2,1,2009-06-18,2010-08-11,BREG AN ORTHOFIX
"Flir Systems, Inc.",2,1,2009-01-30,2009-03-10,FLIR SYSTEMS
Branan Medical Corporation,2,1,2014-03-26,2016-07-05,BRANAN MEDICAL
"Fort Defiance Industries, LLC",2,1,2018-05-24,2021-08-19,FORT DEFIANCE INDUSTRIES
"Frank Mobility Systems, Inc.",2,1,2004-08-01,2004-08-01,FRANK MOBILITY SYSTEMS
"Fresenius Hemocare, Inc.",2,1,2003-01-21,2003-07-11,FRESENIUS HEMOCARE
Boston Foundation For Sight,2,1,2025-06-10,2025-06-10,BOSTON FOUNDATION FOR SIGHT
"Freudenberg Medical, Llc",2,1,2022-02-21,2022-02-21,FREUDENBERG MEDICAL
Cadwell Industries Inc,2,1,2024-04-23,2024-05-17,CADWELL INDUSTRIES
"Cambridge Endoscopic Devices, Incorporated",2,1,2011-05-20,2011-05-20,CAMBRIDGE ENDOSCOPIC DEVICES
Ergosafe Products LLC DBA Prism Medical Services USA,2,1,2013-10-30,2013-10-30,ERGOSAFE PRODUCTS PRISM MEDICAL SERVICES
Emerson Radio Corp.,2,1,2003-04-09,2003-04-09,EMERSON RADIO
Eizo Corporation Eizo Kabu Hakusan Japan,2,1,2019-07-30,2019-07-30,EIZO EIZO KABU HAKUSAN JAPAN
Carefusion Corporation,2,1,2013-03-06,2013-03-06,CAREFUSION
"Elana, Inc.",2,1,2013-02-14,2016-11-09,ELANA
Elekta Limited Fleming Way Crawley United Kingdom,2,1,2017-11-20,2017-11-20,ELEKTA FLEMING WAY CRAWLEY UNITED KINGDOM
Elite Biomedical Solutions LLC,2,1,2015-06-03,2015-06-03,ELITE BIOMEDICAL SOLUTIONS
"Carefusion 2200 Inc
 1500 S Waukegan Rd
 Mpwm Bldg.
 Waukegan IL 60085-6728",2,1,2010-06-25,2013-04-22,CAREFUSION 2200 1500 S WAUKEGAN RD MPWM BLDG WAUKEGAN IL 60085 6728
Ellex USA,2,0,2007-06-13,2007-06-13,ELLEX
"Ellex iScience, Inc.",2,1,2014-08-06,2018-01-11,ELLEX ISCIENCE
Ellipse A/S Agern Alle 11 Horsholm Denmark,2,1,2016-05-05,2016-05-05,ELLIPSE A S AGERN ALLE 11 HORSHOLM DENMARK
"Ellman International, Inc.",2,1,2012-05-04,2016-09-07,ELLMAN
"Carefusion 211 Inc
 22745 Savi Ranch Pkwy
 Yorba Linda CA 92887-4668",2,1,2011-07-13,2011-09-08,CAREFUSION 211 22745 SAVI RANCH PKWY YORBA LINDA CA 92887 4668
"Care Essentials Pty., Ltd.",2,1,2020-01-07,2020-01-07,CARE ESSENTIALS PTY
Empowered Diagnostics LLC,2,1,2021-12-22,2021-12-22,EMPOWERED DIAGNOSTICS
Epocal,2,1,2008-10-16,2013-03-13,EPOCAL
CardioTek BV Amerikalaan 70 Maastricht-Airport Netherlands,2,1,2017-04-13,2022-04-25,CARDIOTEK AMERIKALAAN 70 MAASTRICHT AIRPORT NETHERLANDS
Cardinal Health NeuroCare Division,2,1,2008-06-05,2008-06-13,CARDINAL HEALTH NEUROCARE DIVISION
Endogastric Solutions Inc,2,1,2013-02-04,2013-06-06,ENDOGASTRIC SOLUTIONS
"Endoplus, Inc.",2,1,2013-07-15,2013-07-15,ENDOPLUS
Cardima Inc,2,1,2010-05-20,2010-05-20,CARDIMA
"Cardica, Inc.",2,1,2015-11-06,2015-11-06,CARDICA
"Carbon Medical Technologies, Inc.",2,1,2022-12-16,2024-07-26,CARBON MEDICAL TECHNOLOGIES
"Enpath Medical, Inc",2,1,2006-07-18,2006-07-18,ENPATH MEDICAL
Capsule Tech Inc.,2,1,2010-08-25,2012-08-10,CAPSULE TECH
Eos Imaging Inc,2,1,2012-06-19,2015-02-17,EOS IMAGING
"Epic Extremity, LLC",2,1,2018-03-20,2018-03-20,EPIC EXTREMITY
"Canon Inc. 30-2, Shimomaruko 3-chome, Ohta-ku Tokyo Japan",2,1,2010-11-01,2012-12-05,CANON 30 2 SHIMOMARUKO 3 CHOME OHTA KU TOKYO JAPAN
Integra Pain Management,2,1,2008-03-18,2008-07-07,INTEGRA PAIN MANAGEMENT
"Cosmedent, Inc.",2,1,2017-09-28,2023-07-20,COSMEDENT
"Abbott Vascular, Inc.",2,2,2007-01-31,2013-11-25,ABBOTT VASCULAR
"Acuity Surgical Devices, LLC",2,1,2019-01-07,2019-01-07,ACUITY SURGICAL DEVICES
"Laax, Inc.",2,1,2015-03-25,2015-03-25,LAAX
Klinika Mdical Gmb Achtzehnmorgenweg 6 Usingen Germany,2,1,2025-04-04,2025-04-04,KLINIKA MDICAL GMB ACHTZEHNMORGENWEG 6 USINGEN GERMANY
"J. Jamner Surgical Instruments, Inc.",2,1,2006-04-24,2006-11-14,J JAMNER SURGICAL INSTRUMENTS
LMA North America Inc,2,1,2003-06-18,2012-05-23,LMA NORTH AMERICA
"AccessClosure, Inc., A Cardinal Health Company",2,1,2016-07-13,2016-10-06,ACCESSCLOSURE A CARDINAL HEALTH
Advanced Medical Solutions Ltd. Premier,2,1,2015-01-15,2015-01-15,ADVANCED MEDICAL SOLUTIONS PREMIER
Jolife AB Scheelevagen 17 Ideon Science Park Lund Sweden,2,1,2025-05-21,2026-04-13,JOLIFE SCHEELEVAGEN 17 IDEON SCIENCE PARK LUND SWEDEN
Abbott GmbH Max-Planck-Ring 2 Wiesbaden Germany,2,1,2024-03-04,2024-03-04,ABBOTT MAX PLANCK RING 2 WIESBADEN GERMANY
"Alere Scarborough, Inc. dba Binax, Inc.",2,1,2015-04-22,2015-06-26,ALERE SCARBOROUGH BINAX
AESDEX,2,1,2018-04-02,2018-04-02,AESDEX
Allen Medical Systems One Post Office Square,2,0,2004-07-12,2005-03-04,ALLEN MEDICAL SYSTEMS ONE POST OFFICE SQUARE
LIFELINES NEURO COMPANY,2,1,2019-10-11,2019-10-11,LIFELINES NEURO
"LEPU MEDICAL TECHNOLOGY (BEIJING) CO., LTD
 Building 7-1
 NO. 37 Chaoqian Rd; Changping Tech Zone
 Beijing China",2,1,2021-04-26,2021-04-26,LEPU MEDICAL TECHNOLOGY BEIJING BUILDING 7 1 NO 37 CHAOQIAN RD CHANGPING TECH ZONE BEIJING CHINA
Allergan,2,1,2010-09-16,2011-03-21,ALLERGAN
"Intellijoint Surgical, Inc.",2,1,2019-06-28,2020-02-11,INTELLIJOINT SURGICAL
"Konica Medical Imaging, Inc.",2,1,2003-10-09,2005-03-30,KONICA MEDICAL IMAGING
LEONI CIA CABLE SYSTEMS 5 avenue Victor Hugo Chartres France,2,1,2023-10-06,2023-10-06,LEONI CIA CABLE SYSTEMS 5 AVENUE VICTOR HUGO CHARTRES FRANCE
AMD Medicom Inc.,2,1,2019-10-11,2019-10-11,AMD MEDICOM
"A & E Industries, Ltd. Shenghui, South Road, Nantou Town, Zhong Shan City Guangdong China",2,1,2006-06-30,2006-06-30,A AND E INDUSTRIES SHENGHUI SOUTH ROAD NANTOU TOWN ZHONG SHAN CITY GUANGDONG CHINA
James Leckey Design Ltd 19C Ballinderry Road Lisburn United Kingdom,2,1,2020-02-18,2021-03-01,JAMES LECKEY DESIGN 19C BALLINDERRY ROAD LISBURN UNITED KINGDOM
"Jewel Precision Sheet Metal & Machining Co, Inc.",2,1,2025-05-22,2025-05-23,JEWEL PRECISION SHEET METAL AND MACHINING
Intervascular S.A.S. Zone Industrielle Athelia I La Ciotat Cedex France,2,1,2009-12-09,2009-12-09,INTERVASCULAR S A S ZONE INDUSTRIELLE ATHELIA I LA CIOTAT CEDEX FRANCE
Intertrade Imports Inc.,2,1,2014-09-10,2014-09-10,INTERTRADE IMPORTS
"LTS Therapy Systems, LLC",2,1,2025-05-22,2025-05-22,LTS THERAPY SYSTEMS
"LUMENIS, LTD. Yokneam Ind. Park 6, Ha-Kidma Yokne'Am Ilit Israel",2,1,2025-01-23,2025-07-22,LUMENIS YOKNEAM IND PARK 6 HA KIDMA YOKNE AM ILIT ISRAEL
Advanced Bionics Corporation,2,1,2004-07-27,2004-11-11,ADVANCED BIONICS
"Advanced Back Technologies, Inc.",2,1,2015-05-13,2015-05-13,ADVANCED BACK TECHNOLOGIES
"Intrinsic Therapeutics, Inc.",2,1,2020-07-24,2024-07-25,INTRINSIC THERAPEUTICS
"International Rehabilitative Sciences, Inc.",2,1,2008-06-11,2010-05-17,REHABILITATIVE SCIENCES
Joerns Healthcare Inc.,2,1,2006-01-06,2007-02-21,JOERNS HEALTHCARE
"Advanced Instruments, LLC",2,1,2018-02-07,2024-03-11,ADVANCED INSTRUMENTS
Airgas Puritan Medical Puritan Medical Unit,2,0,2009-08-06,2009-08-06,AIRGAS PURITAN MEDICAL PURITAN MEDICAL UNIT
Accelerated Care Plus Corporation,2,1,2013-06-12,2021-08-25,ACCELERATED CARE PLUS
"Jinan Bodor Cnc Machine Co Ltd NO.1299, XINLUO AVE HI-TECH ZONE Jinan China",2,1,2024-12-19,2025-02-07,JINAN BODOR CNC MACHINE NO 1299 XINLUO AVE HI TECH ZONE JINAN CHINA
A M Systems Inc,2,1,2010-03-31,2018-08-10,A M SYSTEMS
International Chemical Inc.,2,1,2004-10-07,2004-10-07,CHEMICAL
Jjgc Industria E Comercio De Materials Dentarios Sa Av Juscelino Kubitschek De Oliveira Curitiba Brazil,2,1,2019-12-23,2021-10-11,JJGC INDUSTRIA E COMERCIO DE MATERIALS DENTARIOS AV JUSCELINO KUBITSCHEK DE OLIVEIRA CURITIBA BRAZIL
"Invuity, Inc.",2,1,2012-05-12,2017-06-12,INVUITY
"Akita Sumitomo Bakelite Co., Ltd. 27-4, Aza Nakajimita Akita Japan",2,1,2016-09-09,2016-09-09,AKITA SUMITOMO BAKELITE 27 4 AZA NAKAJIMITA AKITA JAPAN
"Aaron Medical Industries, Inc.",2,1,2004-06-29,2004-06-29,AARON MEDICAL INDUSTRIES
"3B Medical, Inc.
 5475 Rings Rd Ste 550
 Dublin OH 43017-7537",2,1,2023-06-15,2026-02-04,3B MEDICAL 5475 RINGS RD STE 550 DUBLIN OH 43017 7537
Karl Storz Endoscopy America Inc 600 Corporate Pointe,2,1,2006-03-10,2007-08-17,KARL STORZ ENDOSCOPY AMERICA 600 CORPORATE POINTE
"Activbody, Inc.",2,1,2021-11-30,2021-11-30,ACTIVBODY
Kapp Surgical Instrument Inc,2,1,2008-03-05,2011-05-24,KAPP SURGICAL INSTRUMENT
"Irvine Biomedical Inc, a St. Jude Medical Co.",2,1,2020-08-24,2020-08-24,IRVINE BIOMEDICAL A ST JUDE MEDICAL
KaVo Dental Technologies LLC,2,1,2018-12-31,2019-04-29,KAVO DENTAL TECHNOLOGIES
Intelerad Medical Systems Inc. 460 Ste-Catherine West Suite 210 Montreal Canada,2,1,2008-10-27,2008-10-27,INTELERAD MEDICAL SYSTEMS 460 STE CATHERINE WEST SUITE 210 MONTREAL CANADA
Aerolase Corporation,2,1,2019-08-01,2019-08-01,AEROLASE
Intelifuse Inc,2,1,2008-07-30,2008-07-30,INTELIFUSE
ARJOHUNTLEIGH POLSKA Sp. z.o.o. UI. KS. PIOTRA WAWRZYNIAKA 2 KOMORNIKI Poland,2,1,2014-07-28,2016-06-29,ARJOHUNTLEIGH POLSKA SP Z O O UI KS PIOTRA WAWRZYNIAKA 2 KOMORNIKI POLAND
"LAP of America Laser Applications, LLC",2,1,2013-10-07,2014-03-21,LAP OF AMERICA LASER APPLICATIONS
Aesculap AG Am Aesculap-Platz 1 Tuttlingen Germany,2,1,2025-08-18,2025-08-18,AESCULAP AM AESCULAP PLATZ 1 TUTTLINGEN GERMANY
"Kova Laboratories, Inc.",2,1,2014-03-21,2014-03-21,KOVA LABORATORIES
Allergan Medical Optics Inc,2,1,2003-07-02,2004-03-29,ALLERGAN MEDICAL OPTICS
Kalila Medical,2,1,2017-12-14,2017-12-14,KALILA MEDICAL
Kung Shin Plastics Co. Ltd. 65-2 Erh Chia Road Ying Kuo Town Taipei Hsien Taiwan,2,1,2025-01-09,2025-01-09,KUNG SHIN PLASTICS 65 2 ERH CHIA ROAD YING KUO TOWN TAIPEI HSIEN TAIWAN
"ATS Medical, Inc.",2,1,2004-02-18,2006-05-05,ATS MEDICAL
AZIYO BIOLOGICS,2,1,2019-08-21,2019-08-21,AZIYO BIOLOGICS
Kamiya Biomedical Company,2,1,2004-03-29,2006-04-11,KAMIYA BIOMEDICAL
"IsoTis OrthoBiologics, Inc.",2,1,2024-11-27,2024-11-27,ISOTIS ORTHOBIOLOGICS
Canon USA Inc,1,1,2003-03-11,2003-03-11,CANON
Carleton Life Support Systems Inc,1,1,2009-07-24,2009-07-24,CARLETON LIFE SUPPORT SYSTEMS
Smiths Medical International Ltd Reachfields Boundry Road Hythe United Kingdom,1,1,2005-06-07,2005-06-07,SMITHS MEDICAL REACHFIELDS BOUNDRY ROAD HYTHE UNITED KINGDOM
"Carl Zeiss Suzhou Co., Ltd. Modern Industrial Square",1,1,2023-08-18,2023-08-18,CARL ZEISS SUZHOU MODERN INDUSTRIAL SQUARE
"Abbott Nutrition, Abbott Laboratories",1,1,2009-09-04,2009-09-04,ABBOTT NUTRITION ABBOTT LABORATORIES
Southern Prosthetic Supply Co.,1,1,2006-10-03,2006-10-03,SOUTHERN PROSTHETIC SUPPLY
XVIVO PERFUSION AB Massans Gata 10 Goteborg Sweden,1,1,2022-04-08,2022-04-08,XVIVO PERFUSION MASSANS GATA 10 GOTEBORG SWEDEN
Aaren Scientific Inc.,1,1,2017-09-01,2017-09-01,AAREN SCIENTIFIC
Cardinal Health Manufacturing LLC,1,1,2008-12-24,2008-12-24,CARDINAL HEALTH MANUFACTURING
Carl Zeiss Ophthalmic Systems Inc,1,1,2004-06-03,2004-06-03,CARL ZEISS OPHTHALMIC SYSTEMS
Abbott Point of Care Canada Limited,1,1,2012-11-01,2012-11-01,ABBOTT POINT OF CARE CANADA
Cardinal Health Inc,1,1,2011-02-18,2011-02-18,CARDINAL HEALTH
Aadco Medical Inc.,1,1,2007-11-01,2007-11-01,AADCO MEDICAL
Capnia Inc,1,1,2025-04-21,2025-04-21,CAPNIA
Abbott Labs,1,1,2004-05-11,2004-05-11,ABBOTT LABS
"Specialized Health Products, Inc.",1,1,2003-04-17,2003-04-17,SPECIALIZED HEALTH PRODUCTS
Zap Lasers LLC,1,1,2008-08-08,2008-08-08,ZAP LASERS
Abbott Ireland Limited Finisklin Business & Technology Park Sligo Ireland,1,1,2023-04-24,2023-04-24,ABBOTT IRELAND FINISKLIN BUSINESS AND TECHNOLOGY PARK SLIGO IRELAND
X-Laser Llc,1,1,2017-07-24,2017-07-24,X LASER
X-Cel X-Ray Corp,1,1,2002-11-12,2002-11-12,X CEL X RAY
"Carbomedics, Inc",1,1,2002-04-30,2002-04-30,CARBOMEDICS
Spark Biomedical Inc,1,1,2025-07-02,2025-07-02,SPARK BIOMEDICAL
"Abbott Health Products, Inc. Hwy 2 Km 58.0 Cruze Davila",1,1,2005-03-23,2005-03-23,ABBOTT HEALTH PRODUCTS HWY 2 KM 58 0 CRUZE DAVILA
Capitol Vial Inc,1,1,2011-10-07,2011-10-07,CAPITOL VIAL
"CarboFix Orthopedics, Ltd. 11 Ha, Hoslim St. Herzliya Israel",1,1,2016-05-10,2016-05-10,CARBOFIX ORTHOPEDICS 11 HA HOSLIM ST HERZLIYA ISRAEL
"Worldwide Medical Technologies, LLC",1,1,2011-08-12,2011-08-12,WORLDWIDE MEDICAL TECHNOLOGIES
Abbott Laboratories Inc. (St Jude Medical) One,1,1,2019-04-05,2019-04-05,ABBOTT LABORATORIES ST JUDE MEDICAL ONE
Caption Health,1,1,2021-05-19,2021-05-19,CAPTION HEALTH
"Spacelabs Healthcare, Ltd. Foxholes Centre, Unit B John Tate Road Hertford United Kingdom",1,1,2017-10-11,2017-10-11,SPACELABS HEALTHCARE FOXHOLES CENTRE UNIT B JOHN TATE ROAD HERTFORD UNITED KINGDOM
XENEX Disinfection Services Inc.,1,1,2024-03-18,2024-03-18,XENEX DISINFECTION SERVICES
"Soleil Systems, Inc.",1,1,2004-08-02,2004-08-02,SOLEIL SYSTEMS
ZIMMER ORTHOPEDICS MANFACTURING LIMITED-GALWAY Deerpark Industrial Estate Oranmore Ireland,1,1,2025-03-03,2025-03-03,ZIMMER ORTHOPEDICS MANFACTURING GALWAY DEERPARK INDUSTRIAL ESTATE ORANMORE IRELAND
Cargille-Sacher Laboratories Inc.,1,1,2006-07-07,2006-07-07,CARGILLE SACHER LABORATORIES
"Solafeet, Inc.",1,1,2009-09-08,2009-09-08,SOLAFEET
Abbott GmBH & Co. KG Max-Planck-Ring 2 65205 Wiesbaden Germany,1,1,2019-10-23,2019-10-23,ABBOTT AND KG MAX PLANCK RING 2 65205 WIESBADEN GERMANY
"Xlumena, Inc.",1,1,2013-04-17,2013-04-17,XLUMENA
"SonoSite, Inc.",1,1,2013-09-11,2013-09-11,SONOSITE
Abbott Electrophysiology,1,1,2015-08-12,2015-08-12,ABBOTT ELECTROPHYSIOLOGY
Xoft Inc.,1,1,2011-02-03,2011-02-03,XOFT
Abbott Diagnostics Technologies AS Kjelsaasveien,1,1,2020-03-23,2020-03-23,ABBOTT DIAGNOSTICS TECHNOLOGIES KJELSAASVEIEN
Abbott Diagnostics Technologies AS Kjelsasveien,1,1,2024-06-17,2024-06-17,ABBOTT DIAGNOSTICS TECHNOLOGIES KJELSASVEIEN
Sonesta Medical Ab Adolfsbergsvagen 31 Bromma Sweden,1,1,2017-03-08,2017-03-08,SONESTA MEDICAL ADOLFSBERGSVAGEN 31 BROMMA SWEDEN
Sonesta Medical AB Industrivagen,1,1,2025-08-22,2025-08-22,SONESTA MEDICAL INDUSTRIVAGEN
"Xoran Technologies, LLC",1,1,2014-09-08,2014-09-08,XORAN TECHNOLOGIES
"Carefusion 303 Inc
 3750 Torrey View Ct
 San Diego CA 92130-2622",1,1,2012-12-20,2012-12-20,CAREFUSION 303 3750 TORREY VIEW CT SAN DIEGO CA 92130 2622
"Carefusion 303, Inc.",1,1,2011-04-20,2011-04-20,CAREFUSION 303
Somatex Medical Technologies GmbH Rheinstr. 7 d Teltow Germany,1,1,2017-05-22,2017-05-22,SOMATEX MEDICAL TECHNOLOGIES RHEINSTR 7 D TELTOW GERMANY
Xsensor Technology Corporation 111,1,1,2009-07-20,2009-07-20,XSENSOR TECHNOLOGY 111
Somatex Medical Technologies GMBH Hohenzollerndamm 150-151 Berlin Germany,1,1,2021-02-03,2021-02-03,SOMATEX MEDICAL TECHNOLOGIES HOHENZOLLERNDAMM 150 151 BERLIN GERMANY
Soma Access Systems LLC,1,1,2014-03-24,2014-03-24,SOMA ACCESS SYSTEMS
Sonogage Inc,1,1,2013-08-09,2013-08-09,SONOGAGE
"Abbott Diagnostics International, Ltd. Carr # 2 Km 58.0 Cruce Davila",1,1,2009-12-30,2009-12-30,ABBOTT DIAGNOSTICS CARR 2 KM 58 0 CRUCE DAVILA
"Southern Implants, (Pty.) Ltd. One Albert Road Irene, Gauteng South Africa",1,1,2018-03-08,2018-03-08,SOUTHERN IMPLANTS PTY ONE ALBERT ROAD IRENE GAUTENG SOUTH AFRICA
Sony Medical Systems,1,1,2015-01-13,2015-01-13,SONY MEDICAL SYSTEMS
Carl Zeiss Metrology Inc,1,1,2017-11-14,2017-11-14,CARL ZEISS METROLOGY
Source Production & Equipment Inc,1,1,2008-03-03,2008-03-03,SOURCE PRODUCTION AND EQUIPMENT
Cardinal Scale Mfg Co,1,1,2015-12-23,2015-12-23,CARDINAL SCALE MFG
Cardio Medical Products,1,1,2013-04-26,2013-04-26,CARDIO MEDICAL PRODUCTS
"CardioFocus, Inc.",1,1,2025-02-07,2025-02-07,CARDIOFOCUS
Young Dental Mfg Co I LLC,1,1,2021-12-29,2021-12-29,YOUNG DENTAL MFG I
"Abbott Diagnostics Division, 5440 Patrick Henry Drive, Santa Clara, CA
 5440 Patrick Henry Dr
 Santa Clara CA 95054-1113",1,1,2010-07-23,2010-07-23,ABBOTT DIAGNOSTICS DIVISION 5440 PATRICK HENRY DRIVE SANTA CLARA CA 5440 PATRICK HENRY DR SANTA CLARA CA 95054 1113
Abbott Gmbh & Co. KG Max-planck-ring 2 65205 Wiesbaden Germany,1,1,2018-12-20,2018-12-20,ABBOTT AND KG MAX PLANCK RING 2 65205 WIESBADEN GERMANY
"Sorin Group Italia S.r.l. Via Crescentino Saluggia, VC Italy",1,1,2013-11-20,2013-11-20,SORIN ITALIA S R L VIA CRESCENTINO SALUGGIA VC ITALY
"Xhale Assurance, Inc.",1,1,2019-05-08,2019-05-08,XHALE ASSURANCE
"Cardiopulmonary Instrumentation, Inc",1,1,2011-02-17,2011-02-17,CARDIOPULMONARY INSTRUMENTATION
Sorin Group Deutschland GmbH Lindberghstr. 25 Munich Germany,1,1,2017-10-30,2017-10-30,SORIN DEUTSCHLAND LINDBERGHSTR 25 MUNICH GERMANY
Sobel Westex,1,1,2020-08-13,2020-08-13,SOBEL WESTEX
"Young Dental Manufacturing Co, LLC",1,1,2019-10-30,2019-10-30,YOUNG DENTAL MANUFACTURING
CareFusion,1,0,2010-03-08,2010-03-08,CAREFUSION
Sofradim Production 116 avenue de Formans Trevoux France,1,1,2018-02-23,2018-02-23,SOFRADIM PRODUCTION 116 AVENUE DE FORMANS TREVOUX FRANCE
Sophysa Rue Sophie Germain Besancon France,1,1,2025-11-17,2025-11-17,SOPHYSA RUE SOPHIE GERMAIN BESANCON FRANCE
Sony Latin America,1,1,2015-03-05,2015-03-05,SONY LATIN AMERICA
Alliance Partners LLC,1,1,2015-06-09,2015-06-09,ALLIANCE PARTNERS
"Canary Medical, Inc.",1,1,2025-05-02,2025-05-02,CANARY MEDICAL
"Stingray Surgical Products, LLC",1,1,2012-05-23,2012-05-23,STINGRAY SURGICAL PRODUCTS
"Accriva Diagnostics Inc., dba ITC, dba Accumetrics",1,1,2016-04-22,2016-04-22,ACCRIVA DIAGNOSTICS ITC ACCUMETRICS
Straumann Manufacturing Inc,1,1,2005-06-06,2005-06-06,STRAUMANN MANUFACTURING
Whirlpool Corporation World Headquarters Benton,1,1,2020-07-02,2020-07-02,WHIRLPOOL WORLD HEADQUARTERS BENTON
"Strata Skin Sciences, Inc.",1,1,2017-01-23,2017-01-23,STRATA SKIN SCIENCES
"Straight Smile, LLC",1,1,2024-11-04,2024-11-04,STRAIGHT SMILE
Whiteside Biomechanics,1,1,2006-09-15,2006-09-15,WHITESIDE BIOMECHANICS
Btt Health Gmbh Billerberg 7 Inning Germany,1,1,2024-08-01,2024-08-01,BTT HEALTH BILLERBERG 7 INNING GERMANY
Burton Medical Products Corp,1,1,2004-02-19,2004-02-19,BURTON MEDICAL PRODUCTS
Stockwell Scientific Inc,1,1,2003-12-29,2003-12-29,STOCKWELL SCIENTIFIC
Widex A/S Nymollevej 6 Lynge Denmark,1,1,2018-08-31,2018-08-31,WIDEX A S NYMOLLEVEJ 6 LYNGE DENMARK
Wiener Laboratories Street Riobamba Argentina,1,1,2017-11-10,2017-11-10,WIENER LABORATORIES STREET RIOBAMBA ARGENTINA
Spectrum Dynamics 22 Bareket St Caesarea Israel,1,1,2011-07-15,2011-07-15,SPECTRUM DYNAMICS 22 BAREKET ST CAESAREA ISRAEL
"William C. Domb, D.M.D., A Professional Corporation",1,1,2014-04-23,2014-04-23,WILLIAM C DOMB D M D A PROFESSIONAL
"Stille-Sonesta, Inc",1,1,2006-11-09,2006-11-09,STILLE SONESTA
"C P Medical, Inc.",1,1,2014-09-22,2014-09-22,C P MEDICAL
"C. R.Bard, Inc./BardElectrophysiology Division",1,1,2008-10-01,2008-10-01,C R BARD BARDELECTROPHYSIOLOGY DIVISION
WillowWood Global Llc,1,1,2021-04-20,2021-04-20,WILLOWWOOD GLOBAL
"C.L.R. Medicals International, Inc.",1,1,2013-11-25,2013-11-25,C L R MEDICALS
Steris Corportion,1,1,2004-04-28,2004-04-28,STERIS CORPORTION
CAIRE DIAGNOSTICS INC,1,1,2021-02-26,2021-02-26,CAIRE DIAGNOSTICS
Accora Inc,1,1,2021-06-21,2021-06-21,ACCORA
"CARESTREAM DENTAL, LLC",1,1,2021-02-15,2021-02-15,CARESTREAM DENTAL
"Brushpoint Innovations, Inc.",1,1,2011-01-14,2011-01-14,BRUSHPOINT INNOVATIONS
"Accure Acne, Inc",1,1,2023-12-06,2023-12-06,ACCURE ACNE
"BrosMed Medical Co., Ltd. Bubugaogaofu Lou Lou 15th Songshan Lake Hi Dongguan China",1,1,2018-12-14,2018-12-14,BROSMED MEDICAL BUBUGAOGAOFU LOU LOU 15TH SONGSHAN LAKE HI DONGGUAN CHINA
"Brookstone Company, Inc.",1,1,2012-11-02,2012-11-02,BROOKSTONE
Accuro Medical Product LLC,1,1,2012-08-31,2012-08-31,ACCURO MEDICAL PRODUCT
Bound Tree Medical,1,1,2020-05-14,2020-05-14,BOUND TREE MEDICAL
Bracco Injeneering S.A. Avenue De Sevelin 46 Lausanne Switzerland,1,1,2018-11-12,2018-11-12,BRACCO INJENEERING S A AVENUE DE SEVELIN 46 LAUSANNE SWITZERLAND
Bradshaw Medical Inc.,1,1,2015-02-02,2015-02-02,BRADSHAW MEDICAL
Brahms GmbH Neuendorfstr. 25 Hennigsdorf Germany,1,1,2026-03-12,2026-03-12,BRAHMS NEUENDORFSTR 25 HENNIGSDORF GERMANY
"Westone Laboratories, Inc.",1,1,2012-07-13,2012-07-13,WESTONE LABORATORIES
Brainlab AG Olof-Palme-Str. 9 Munich Germany,1,1,2025-02-10,2025-02-10,BRAINLAB OLOF PALME STR 9 MUNICH GERMANY
Stryker Instruments,1,1,2022-06-24,2022-06-24,STRYKER INSTRUMENTS
Brainreader ApS Emil Mollers Gade 41 REGION Horsens Denmark,1,1,2020-12-14,2020-12-14,BRAINREADER APS EMIL MOLLERS GADE 41 REGION HORSENS DENMARK
"Brasseler USA, Medical L.L.C.",1,1,2022-01-28,2022-01-28,BRASSELER MEDICAL L L C
Braxton Medical Corporation,1,1,2020-09-04,2020-09-04,BRAXTON MEDICAL
Breas Medical AB Foretagsvagen 1 Molnlycke Sweden,1,1,2014-11-07,2014-11-07,BREAS MEDICAL FORETAGSVAGEN 1 MOLNLYCKE SWEDEN
Wexford Labs Inc,1,1,2013-09-10,2013-09-10,WEXFORD LABS
"Stryker Communications, Inc.",1,1,2012-09-25,2012-09-25,STRYKER COMMUNICATIONS
"Brewer Company, LLC N88",1,1,2018-03-29,2018-03-29,BREWER N88
Bridge to Life Ltd,1,1,2025-06-12,2025-06-12,BRIDGE TO LIFE
Bridgepoint Medical,1,1,2012-06-26,2012-06-26,BRIDGEPOINT MEDICAL
Streck,1,1,2017-02-23,2017-02-23,STRECK
"Straumann Usa, Llc",1,1,2008-01-10,2008-01-10,STRAUMANN
Wfr/aquaplast Corp,1,1,2016-01-07,2016-01-07,WFR AQUAPLAST
Briggs Medical Service Company d.b.a. Mabis,1,1,2014-06-05,2014-06-05,BRIGGS MEDICAL SERVICE D B A MABIS
CAREstream Medical LLC,1,1,2018-05-15,2018-05-15,CARESTREAM MEDICAL
CARIS LIFE SCIENCES,1,1,2025-06-17,2025-06-17,CARIS LIFE SCIENCES
"SteriGear, LLC",1,1,2011-01-11,2011-01-11,STERIGEAR
Ability Dynamics LLC,1,1,2014-06-02,2014-06-02,ABILITY DYNAMICS
Sr Instruments Inc,1,1,2012-12-13,2012-12-13,SR INSTRUMENTS
