company_name_fda,normalized_name,candidate_compustat_name,candidate_gvkey,similarity,n_letters,product_types,accept
Integra NeuroSciences Ltd.,INTEGRA NEUROSCIENCES,MINERVA NEUROSCIENCES,020225,90.5,1,Devices,
Allegis Pharmaceutical LLC,ALLEGIS PHARMACEUTICAL,ALGOS PHARMACEUTICAL,153351,90.5,1,Drugs,
"Dental Technologies, Inc.",DENTAL TECHNOLOGIES,BIO DENTAL TECHNOLOGIES,023886,90.5,2,Drugs,
"Green Pharmaceuticals, Inc.",GREEN PHARMACEUTICALS,GENIX PHARMACEUTICALS,105331,90.5,1,Drugs,
Anicare Pharmaceuticals Pvt Ltd.,ANICARE PHARMACEUTICALS,ANI PHARMACEUTICALS,018204,90.5,1,Drugs,
"Pine Pharmaceuticals, LLC",PINE PHARMACEUTICALS,SPHINX PHARMACEUTICALS,024892,90.5,1,Drugs,
Attix Pharmaceuticals Inc.,ATTIX PHARMACEUTICALS,MATRIX PHARMACEUTICAL,024877,90.5,1,Drugs,
Creation Technologies Ltd,CREATION TECHNOLOGIES,CREATIVE TECHNOLOGIES,012847,90.5,1,Devices,
NuCare Pharmaceuticals Inc,NUCARE PHARMACEUTICALS,NURX PHARMACEUTICALS,175554,90.5,1,Drugs,
Coral Pharmaceuticals LTD,CORAL PHARMACEUTICALS,CIRCA PHARMACEUTICALS,002293,90.5,1,Drugs,
Integra Neurosciences,INTEGRA NEUROSCIENCES,MINERVA NEUROSCIENCES,020225,90.5,1,Devices,
Royal Chemical Company,ROYAL CHEMICAL,UNIROYAL CHEMICAL,023606,90.3,1,Drugs,
GAR Laboratories Inc.,GAR LABORATORIES,IG LABORATORIES,022261,90.3,1,Drugs,
ZEN ENTERPRISES LLC,ZEN ENTERPRISES,RENX ENTERPRISES,024310,90.3,1,Drugs,
GCP Laboratories,GCP LABORATORIES,IG LABORATORIES,022261,90.3,1,Drugs,
Tyche Industries Ltd.,TYCHE INDUSTRIES,TYCO INDUSTRIES,015304,90.3,1,Drugs,
"Bayer Healthcare, LLC",BAYER HEALTHCARE,HEALTHCARE AMER,013511,90.3,2,Drugs,
RESET TECHNOLOGY CORPORATION,RESET TECHNOLOGY,RISE TECHNOLOGY,013237,90.3,1,Devices,
"Alcor Scientific, Inc.",ALCOR SCIENTIFIC,CORE SCIENTIFIC,037871,90.3,1,Devices,
RMLC Industries LLC,RMLC INDUSTRIES,REMCO INDUSTRIES,009041,90.3,1,Drugs,
Pentax of America Inc,PENTAX OF AMERICA,TAX OF AMERICA,010348,90.3,2,Devices,
"Sato Pharmaceutical Co., Ltd.",SATO PHARMACEUTICAL,RAPTOR PHARMACEUTICAL,161088,90.0,2,Drugs,
Cotronic Technology Limited,COTRONIC TECHNOLOGY,ELECTRONIC TECHNOLOGY,021167,90.0,1,Devices,
"Health-Mor, Inc",HEALTH MOR,OSR HEALTH,041238,90.0,1,Devices,
"Amryt Pharmaceuticals, Inc.",AMRYT PHARMACEUTICALS,ARS PHARMACEUTICALS,037495,90.0,1,Drugs,
"TZ Medical, Inc.",TZ MEDICAL,T2 MEDICAL,014499,90.0,1,Devices,
"WraSer Pharmaceuticals, LLC",WRASER PHARMACEUTICALS,RA PHARMACEUTICALS,028470,90.0,1,Drugs,
