firm_name_fda,normalized_name,source,n_records,match_status,n_gvkey_candidates,gvkey,company_name_compustat,sic,costat,cik,cross_entity_family
BIO-RAD LABORATORIES,BIO RAD LABORATORIES,part803_maude,73,out_of_industry,,2220.0,BIO-RAD LABORATORIES INC,3826.0,,,
"HILL-ROM COMPANY, INC.",HILL ROM,part803_maude,73,out_of_industry,,5639.0,HILL-ROM HOLDINGS INC,2590.0,,,
BIOSPHERE MEDICAL,BIOSPHERE MEDICAL,part803_unmatched,70,out_of_industry,,29939.0,BIOSPHERE MEDICAL INC,2890.0,,,
HEARTFLOW,HEARTFLOW,part803_unmatched,67,out_of_industry,,60787.0,HEARTFLOW INC,7370.0,,,
"Hill-Rom, Inc.",HILL ROM,part806_recall,66,out_of_industry,,5639.0,HILL-ROM HOLDINGS INC,2590.0,,,
GRAPHIC CONTROLS,GRAPHIC CONTROLS,part803_unmatched,66,out_of_industry,,5274.0,GRAPHIC CONTROLS CORP,2761.0,,,
"CRAFTMATIC INDUSTRIES, INC.",CRAFTMATIC INDUSTRIES,part803_maude,60,out_of_industry,,12737.0,CRAFTMATIC INDUSTRIES INC,2510.0,,,
BAYER CORP.,BAYER,part803_maude,51,out_of_industry,,100080.0,BAYER AG,2800.0,,,
SANMINA,SANMINA,part803_unmatched,50,out_of_industry,,28139.0,SANMINA CORP,3672.0,,,
NATIONAL MEDICAL CARE,NATIONAL MEDICAL CARE,part803_unmatched,49,out_of_industry,,7749.0,NATIONAL MEDICAL CARE,8090.0,,,
SPECIALIZED HEALTH PRODUCTS,SPECIALIZED HEALTH PRODUCTS,part803_unmatched,49,out_of_industry,,61462.0,SPECIALIZED HEALTH PRODUCTS,3089.0,,,
KIMBERLY CLARK CORPORATION,KIMBERLY CLARK,part803_maude,48,out_of_industry,,6435.0,KIMBERLY-CLARK CORP,2621.0,,,
PROCTER & GAMBLE CO.,PROCTER AND GAMBLE,part803_maude,48,out_of_industry,,8762.0,PROCTER & GAMBLE CO,2840.0,,,
MARIETTA,MARIETTA,part803_unmatched,47,out_of_industry,,12350.0,MARIETTA CORP,7389.0,,,
"BIO-RAD LABORATORIES, INC.",BIO RAD LABORATORIES,part803_maude,43,out_of_industry,,2220.0,BIO-RAD LABORATORIES INC,3826.0,,,
GOODMAN,GOODMAN,part803_unmatched,43,out_of_industry,,271810.0,GOODMAN GROUP,6798.0,,,
CONFLUENT,CONFLUENT,part803_unmatched,40,out_of_industry,,38931.0,CONFLUENT INC,7372.0,,,
EASTMAN KODAK,EASTMAN KODAK,part803_unmatched,40,out_of_industry,,4194.0,EASTMAN KODAK CO,3861.0,,,
MCKESSON,MCKESSON,part803_maude,38,out_of_industry,,7171.0,MCKESSON CORP,5122.0,,,
