product_code,dev_device_name,dev_device_class,dev_medical_specialty,dev_medical_specialty_description,dev_review_panel,dev_regulation_number,dev_definition,dev_implant_flag,dev_life_sustain_support_flag,dev_gmp_exempt_flag,dev_third_party_flag,dev_summary_malfunction_reporting,dev_submission_type_id,dev_unclassified_reason,dev_device_class_num,dev_implant_flag_bool,dev_life_sustain_support_flag_bool,dev_gmp_exempt_flag_bool,dev_third_party_flag_bool
BYP,"Mouthpiece, Breathing",1,AN,Anesthesiology,AN,868.5620,,N,N,N,N,Eligible,4,,1,False,False,False,False
HCB,"Device, Aversive Conditioning",2,NE,Neurology,NE,882.5235,,N,N,N,Y,Ineligible,1,,2,False,False,False,True
HIF,"Insufflator, Laparoscopic",2,OB,Obstetrics/Gynecology,OB,884.1730,,N,N,N,N,Ineligible,1,,2,False,False,False,False
MZD,"System, In-Office Tinting, Contact Lenses",2,OP,Ophthalmic,OP,886.5925,,N,N,N,Y,Eligible,1,,2,False,False,False,True
IAE,"Hematoxylin, Iron, Weigert'S",1,HE,Hematology,PA,864.1850,,N,N,Y,N,Eligible,4,,1,False,False,True,False
ELR,"Post, Root Canal",1,DE,Dental,DE,872.3810,,N,N,N,N,Eligible,4,,1,False,False,False,False
BRY,"Cabinet, Table And Tray, Anesthesia",1,AN,Anesthesiology,AN,868.6100,,N,N,N,N,Eligible,4,,1,False,False,False,False
HDQ,"Dilator, Cervical, Fixed Size",1,OB,Obstetrics/Gynecology,OB,884.4530,,N,N,N,N,Eligible,4,,1,False,False,False,False
HTY,"Pin, Fixation, Smooth",2,OR,Orthopedic,OR,888.3040,,Y,N,N,N,Eligible,1,,2,True,False,False,False
QZG,Menstrual Blood Collection Device,2,CH,Clinical Chemistry,CH,862.1675,Intended to collect and transport menstrual blood specimens to the laboratory for in vitro diagnostic testing,N,N,N,N,Ineligible,1,,2,False,False,False,False
DQB,"Phlebograph, Impedance",2,CV,Cardiovascular,CV,870.2750,,N,N,N,Y,Eligible,1,,2,False,False,False,True
KAR,"Irrigator, Sinus",1,EN,"Ear, Nose, Throat",EN,874.4420,,N,N,N,N,Eligible,4,,1,False,False,False,False
DRG,"Transmitters And Receivers, Physiological Signal, Radiofrequency",2,CV,Cardiovascular,CV,870.2910,,N,N,N,Y,Eligible,1,,2,False,False,False,True
OSR,Pacemaker/Icd/Crt Non-Implanted Components,3,,Unknown,CV,,"Pacemaker/ICD/CRT non-implanted components provide programming, interrogation, printing, remote monitoring, and communication between the pulse generator and the health care provider.",Y,N,N,N,Ineligible,2,,3,True,False,False,False
EZL,"Catheter, Retention Type, Balloon",2,GU,"Gastroenterology, Urology",GU,876.5130,,N,N,N,Y,Eligible,1,,2,False,False,False,True
JRM,Freezer,1,CH,Clinical Chemistry,CH,862.2050,,N,N,Y,N,Eligible,4,,1,False,False,True,False
CAW,"Generator, Oxygen, Portable",2,AN,Anesthesiology,AN,868.5440,,N,N,N,Y,Eligible,1,,2,False,False,False,True
CHO,"Radioimmunoassay, Cyclic Amp",2,CH,Clinical Chemistry,CH,862.1230,,N,N,N,Y,Eligible,1,,2,False,False,False,True
DXO,"Transducer, Pressure, Catheter Tip",2,CV,Cardiovascular,CV,870.2870,,N,N,N,Y,Eligible,1,,2,False,False,False,True
KSN,"Centrifuge, Cell-Washing, Automated For Immuno-Hematology",2,HE,Hematology,HE,864.9285,,N,N,N,N,Eligible,1,,2,False,False,False,False
GMA,"Antisera, Fluorescent, Sporothrix Schenekii",1,MI,Microbiology,MI,866.3680,,N,N,N,N,Eligible,4,,1,False,False,False,False
KHW,"Antigen, Id, Ha, Cep, Entamoeba Histolytica & Rel. Spp.",2,MI,Microbiology,MI,866.3220,,N,N,N,N,Eligible,4,,2,False,False,False,False
GXS,"Monitor, Alpha",2,NE,Neurology,NE,882.1610,,N,N,N,Y,Eligible,1,,2,False,False,False,True
HNN,"Knife, Ophthalmic",1,OP,Ophthalmic,OP,886.4350,,N,N,N,N,Eligible,4,,1,False,False,False,False
FGN,"Retractor, Non-Self-Retaining",1,GU,"Gastroenterology, Urology",GU,876.4730,,N,N,N,N,Eligible,4,,1,False,False,False,False
JJB,"Azo-Dyes, Colorimetric, Bilirubin & Its Conjugates (Urinary, Non-Quant.)",1,CH,Clinical Chemistry,CH,862.1115,,N,N,N,N,Eligible,4,,1,False,False,False,False
PFG,"Dna Fish Probe Kit For Specimen Characterization, Human Chromosome, Hematological Disorders",2,HE,Hematology,PA,864.1870,DNA FISH probe kits for specimen characterization detect DNA probe targets on human chromosomes in bone marrow and peripheral blood specimens.,N,N,N,Y,Eligible,1,,2,False,False,False,True
LNH,"System, Nuclear Magnetic Resonance Imaging",2,RA,Radiology,RA,892.1000,,N,N,N,Y,Eligible,1,,2,False,False,False,True
FRK,"Chair, Examination And Treatment",1,HO,General Hospital,HO,880.6140,,N,N,Y,N,Eligible,4,,1,False,False,True,False
KRS,"Prosthesis, Knee, Hemi-, Femoral (Uncemented)",3,OR,Orthopedic,OR,888.3570,,Y,N,N,N,Eligible,2,,3,True,False,False,False
OIY,"Prosthesis, Knee, Patellofemorotibial, Semi-Constrained, Cemented, Polymer + Additive/Metal/Polymer + Additive",2,OR,Orthopedic,OR,888.3560,"Indicated for:  1.	Painful and disabled knee joint resulting from osteoarthritis, rheumatoid arthritis, traumatic arthritis where one or more compartments are involved.  2.	Correction of varus, valgus, or posttraumatic deformity.  3.	Correction or revision of unsuccessful osteotomy, arthrodesis, or failure of previous joint replacement procedure.    For cemented use.",Y,N,N,N,Eligible,1,,2,True,False,False,False
IWH,"Source, Teletherapy, Radionuclide",1,RA,Radiology,RA,892.5740,,N,N,N,N,Eligible,4,,1,False,False,False,False
QEI,Breast Milk Macronutrients Test System,2,CH,Clinical Chemistry,CH,862.1493,"A breast milk macronutrient test system is a device intended to quantitatively measure fat, protein, and total carbohydrate content in human breast milk. These measurements, in conjunction with other clinical assessments, may be used to aid in the nutritional management of infants.",N,N,N,N,Ineligible,1,,2,False,False,False,False
QSK,"Hybrid Stent Graft, Thoracic Aortic Lesion Treatment",3,,Unknown,CV,,"Repair or replacement of damaged or diseased vessel of the aortic arch and descending thoracic aorta, with or without involvement of ascending aorta, using vascular grafts and/or stent grafts placed during open surgical repair.",Y,Y,N,N,Ineligible,2,,3,True,True,False,False
DPZ,"Oximeter, Ear",2,CV,Cardiovascular,AN,870.2710,,N,N,N,N,Eligible,1,,2,False,False,False,False
GTZ,"Antisera, All Groups, Streptococcus Spp.",1,MI,Microbiology,MI,866.3740,,N,N,N,N,Eligible,4,,1,False,False,False,False
