sponsor_norm,gvkey,map_source,map_score,compustat_conm,compustat_tic,cik,permno
osr medical,041238,resolved,100.0,,,,
otonomy,021145,resolved,100.0,OTONOMY INC,OTIC,0001493566,14874
oyster point pharma,035747,resolved,100.0,OYSTER POINT PHARM INC,OYST,0001720725,19016
palatin technologies,029086,resolved,100.0,PALATIN TECHNOLOGIES INC,PTNT,0000911216,79702
par pharmaceutical,008333,resolved,100.0,PAR PHARMACEUTCL HLDGS -REDH,7259B,0001559149,61138
orion orion pharma,020420,resolved,100.0,ORION SA,OEC,0001609804,14786
nabriva therapeutics,026148,resolved,100.0,NABRIVA THERAPEUTICS PLC,NBRVF,0001641640,15656
medicinova,162892,resolved,100.0,MEDICINOVA INC,MNOV,0001226616,91672
myovant sciences,028421,resolved,100.0,MYOVANT SCIENCES LTD,MYOV,0001679082,16451
macrogenics,018658,resolved,100.0,MACROGENICS INC,MGNX,0001125345,14257
lyra therapeutics,036300,resolved,100.0,LYRA THERAPEUTICS INC,LYRA,0001327273,19402
lumos pharma,036333,resolved,100.0,LUMOS PHARMA INC,LUMO,0001126234,13111
lpath,165745,resolved,100.0,LPATH INC,LPTN,,13648
longeveron,037807,resolved,100.0,LONGEVERON INC,LGVN,0001721484,20609
longboard pharmaceuticals,038284,resolved,100.0,LONGBOARD PHARMA INC,LBPH,0001832168,20834
lombard medical,274775,resolved,100.0,LOMBARD MEDICAL TECH PLC,EVARF,0001597426,14595
lipocine,018424,resolved,100.0,LIPOCINE INC,LPCN,0001535955,14545
ligand pharmaceuticals,025937,resolved,100.0,LIGAND PHARMACEUTICAL INC,LGND,0000886163,78081
lifecell,024982,resolved,100.0,LIFECELL CORP,LIFC,0000849448,77362
lexicon pharmaceuticals,133868,resolved,100.0,LEXICON PHARMACEUTICALS INC,LXRX,0001062822,88173
larimar therapeutics,036536,resolved,100.0,LARIMAR THERAPEUTICS INC,LRMR,0001374690,14711
lantern pharma,036394,resolved,100.0,LANTERN PHARMA INC,LTRN,0001763950,19479
labopharm,063128,resolved,100.0,LABOPHARM INC,DDSSF,0001284519,91174
madrigal pharmaceuticals,027716,resolved,100.0,MADRIGAL PHARMACEUTICALS INC,MDGL,0001157601,91832
la jolla pharmaceutical,030281,resolved,100.0,LA JOLLA PHARMACEUTICAL CO,LJPC,0000920465,80640
kythera biopharmaceuticals,005241,resolved,100.0,KYTHERA BIOPHARMA INC,KYTH,0001436304,13644
kura oncology,026081,resolved,100.0,KURA ONCOLOGY INC,KURA,0001422143,15847
kubota vision,006506,resolved,100.0,KUBOTA CORP,KUBTY,0000109821,59344
krystal biotech,032348,resolved,100.0,KRYSTAL BIOTECH INC,KRYS,0001711279,16928
kodiak sciences,034118,resolved,100.0,KODIAK SCIENCES INC,KOD,0001468748,18203
keryx biopharmaceuticals,138126,resolved,100.0,KERYX BIOPHARMACEUTICALS INC,KERX,0001114220,88451
kensey nash,061703,resolved,100.0,KENSEY NASH CORP,KNSY,0001002811,82717
