sponsor_norm,gvkey,map_source,map_score,compustat_conm,compustat_tic,cik,permno
eledon pharmaceuticals,031301,fuzzy_extended,100.0,ELEDON PHARMACEUTICALS INC,ELDN,0001404281,14937
"kiora pharmaceuticals, inc",021282,fuzzy_extended,100.0,KIORA PHARMACEUTICALS INC,KPRX,0001372514,15510
emerald clinical inc,030998,fuzzy_extended,100.0,EMERALD HOLDING INC,EEX,0001579214,16660
kdh research & communication,009071,fuzzy_extended,100.0,RESEARCH INC,RESRQ,0000216983,66545
"ainos, inc. (f/k/a amarillo biosciences inc",063446,fuzzy_extended,100.0,AINOS INC,AIMD,0001014763,83840
supira medical,022038,fuzzy_extended,96.29629629629629,SUPRA MEDICAL CORP,3SMDD,0000810822,77487
"johnson & johnson consumer products company division of johnson & johnson consumer companies, inc",006266,fuzzy_extended,100.0,JOHNSON & JOHNSON,JNJ,0000200406,22111
"johnson & johnson healthcare products division of mcneil-ppc, inc",006266,fuzzy_extended,100.0,JOHNSON & JOHNSON,JNJ,0000200406,22111
"endeavor biomedicines, inc",035245,fuzzy_extended,100.0,ENDEAVOR GROUP HOLDINGS,EDR,0001766363,20923
stryker south pacific,010115,fuzzy_extended,100.0,STRYKER CORP,SYK,0000310764,73139
davita clinical research,009071,fuzzy_extended,100.0,RESEARCH INC,RESRQ,0000216983,66545
celcuity inc,032356,fuzzy_extended,100.0,CELCUITY INC,CELC,0001603454,16923
"nielsen biosciences, inc",100873,fuzzy_extended,100.0,NIELSEN HOLDINGS PLC,NLSN,0001492633,12542
bright future pharmaceuticals factory o/b bright future pharmaceutical laboratories limited,247881,fuzzy_extended,93.87755102040816,GW PHARMACEUTICALS LIMITED,GWPH,0001351288,13926
"water pik, inc",126722,fuzzy_extended,100.0,WATER PIK TECHNOLOGIES INC,PIK.,0001094286,87449
"precigen, inc",018315,fuzzy_extended,100.0,PRECIGEN INC,PGEN,0001356090,14072
praecis pharmaceuticals inc,134685,fuzzy_extended,100.0,PRAECIS PHARMACEUTICALS INC,PRCS.1,0001033025,88190
cell>point llc,108457,fuzzy_extended,94.73684210526315,CELLPOINT INC,3CLPTQ,0001046607,88428
"remedy pharmaceuticals, inc",031622,fuzzy_extended,100.0,REMEDY CORP,RMDY,0000936653,81506
"boston intelligent medical research center, shenzhen united scheme technology co., ltd",015200,fuzzy_extended,100.0,BOSTON TECHNOLOGY INC,BSN.1,0000771470,75700
"rayzebio, inc",043289,fuzzy_extended,100.0,RAYZEBIO INC,RYZB,0001825367,24283
restorbio inc,032899,fuzzy_extended,100.0,RESTORBIO INC,TORC,,17272
"on target laboratories, llc",003813,fuzzy_extended,100.0,TARGET CORP,TGT,0000027419,49154
"nutrition 21, inc",012828,fuzzy_extended,100.0,NUTRITION 21 INC,NXXIQ,0000744962,10994
"sama pharmaceutical co., ltd",027756,fuzzy_extended,92.6829268292683,SHAMAN PHARMACEUTICALS INC,SHPH.1,0000891933,78839
"pfenex, inc",020798,fuzzy_extended,100.0,PFENEX INC,PFNX,0001478121,14774
pepgen inc,041225,fuzzy_extended,100.0,PEPGEN INC,PEPG,0001835597,23117
viveve inc,021838,fuzzy_extended,100.0,VIVEVE MEDICAL INC,VIVE,0000879682,16112
"cardiorenal systems, inc",025013,fuzzy_extended,100.0,PLC SYSTEMS INC,PLCSF,,77568
"regenerx biopharmaceuticals, inc",012942,fuzzy_extended,100.0,REGENERX BIOPHARMACEUTICALS,RGRX,0000707511,90626
"nikang therapeutics, inc",028209,fuzzy_extended,93.33333333333333,ANIKA THERAPEUTICS INC,ANIK,0000898437,79150
paragonix technologies,009323,fuzzy_extended,95.23809523809524,PARAGON TECHNOLOGIES INC,PGNT,0000090045,68233
"ppd development, lp",008246,fuzzy_extended,100.0,PPD CORP,PKGP.1,,60477
"cda research group, inc",009071,fuzzy_extended,100.0,RESEARCH INC,RESRQ,0000216983,66545
richmond research institute,009071,fuzzy_extended,100.0,RESEARCH INC,RESRQ,0000216983,66545
"oncternal therapeutics, inc",035320,fuzzy_extended,100.0,ONCTERNAL THERAPEUTICS INC,ONCT,0001260990,90031
celltex therapeutics corporation,179598,fuzzy_extended,95.0,CELLDEX THERAPEUTICS INC,CLDX,0000744218,10258
orapharma,132641,fuzzy_extended,100.0,ORAPHARMA INC,OPHM,0001028065,87798
"sfj pharmaceuticals, inc",028470,fuzzy_extended,92.6829268292683,RA PHARMACEUTICALS INC,RARX,0001481512,16398
better therapeutics,039994,fuzzy_extended,100.0,BETTER THERAPEUTICS INC,BTTX,0001832415,20844
nova pneuma inc,133905,fuzzy_extended,100.0,NOVA LTD,NVMI,0001109345,88181
nova laboratories limited,133905,fuzzy_extended,100.0,NOVA LTD,NVMI,0001109345,88181
northwest biotherapeutics,144887,fuzzy_extended,100.0,NORTHWEST BIOTHERAPEUTICS,NWBO,0001072379,89277
opthea limited,211559,fuzzy_extended,100.0,OPTHEA LTD,OPT,0001815620,19982
"sgx pharmaceuticals, inc",165650,fuzzy_extended,100.0,SGX PHARMACEUTICALS INC,SGXP,0001125603,91101
"scm lifescience co., ltd",009316,fuzzy_extended,100.0,SCM CORP,SCM.2,0000087840,20474
"prism pharma co., ltd",025112,fuzzy_extended,100.0,PRISM GROUP INC,3PRSME,0000856981,77933
prevail therapeutics,035266,fuzzy_extended,100.0,PREVAIL THERAPEUTICS INC,PRVL,0001714798,18782
"pharmathene, inc",164510,fuzzy_extended,100.0,PHARMATHENE INC,PIP,,90926
r.j. reynolds vapor company,011110,fuzzy_extended,100.0,VAPOR CORP,VAPO.1,0000102986,80275
"china resources sanjiu medical & pharmaceutical co., ltd",025699,fuzzy_extended,100.0,MEDICAL RESOURCES INC,MRIIQ,0000725151,77883
"oncoethix gmbh, a subsidiary of merck & co., inc. (rahway, new jersey usa)",007257,fuzzy_extended,100.0,MERCK & CO,MRK,0000310158,22752
viatris specialty llc,007637,fuzzy_extended,100.0,VIATRIS INC,VTRS,0001792044,20057
"c4 therapeutics, inc",037081,fuzzy_extended,100.0,C4 THERAPEUTICS INC,CCCC,0001662579,19953
"acessa health, inc",024948,fuzzy_extended,94.11764705882354,ACCESS HEALTH INC,ACCS.1,0000882304,77352
reunion neuroscience inc,037173,fuzzy_extended,100.0,REUNION NEUROSCIENCE INC,REUN,0001865482,21714
orchard therapeutics,034361,fuzzy_extended,100.0,ORCHARD THERAPEUTICS PLC,ORTX,0001748907,18208
centessa pharmaceuticals (uk) limited,038805,fuzzy_extended,100.0,CENTESSA PHARMACEUTICALS PLC,CNTA,0001847903,21278
biopure corporation,122315,fuzzy_extended,100.0,BIOPURE CORP,BPURQ,0000815508,87057
"vedanta biosciences, inc",208323,fuzzy_extended,100.0,VEDANTA LTD,VEDL,0001370431,14140
outset medical,036885,fuzzy_extended,100.0,OUTSET MEDICAL INC,OM,0001484612,19653
"santalis pharmaceuticals, inc",036301,fuzzy_extended,92.85714285714286,ZENTALIS PHARMACEUTICALS INC,ZNTL,0001725160,19356
plus therapeutics,254096,fuzzy_extended,100.0,PLUS THERAPEUTICS INC,PSTV,0001095981,91021
perfect care distribution,037669,fuzzy_extended,100.0,PERFECT CORP,PERF,0001899830,23498
perrigo csci,024782,fuzzy_extended,100.0,PERRIGO CO PLC,PRGO,0001585364,77182
"outlook therapeutics, inc",026817,fuzzy_extended,100.0,OUTLOOK THERAPEUTICS INC,OTLK,0001649989,16104
olistic research labs s.l,009071,fuzzy_extended,100.0,RESEARCH INC,RESRQ,0000216983,66545
"turnstone biologics, corp",043137,fuzzy_extended,100.0,TURNSTONE BIOLOGICS CORP,TSBX,0001764974,24080
"neurana pharmaceuticals, inc",028470,fuzzy_extended,92.6829268292683,RA PHARMACEUTICALS INC,RARX,0001481512,16398
prothena biosciences limited,016745,fuzzy_extended,100.0,PROTHENA CORPORATION PLC,PRTA,0001559053,13706
"chattem, inc",002950,fuzzy_extended,100.0,CHATTEM INC,CHTT,0000019520,22905
ohr pharmaceutical inc,160578,fuzzy_extended,100.0,OHR PHARMACEUTICAL INC,OHRP,,13965
"caribou biosciences, inc",039291,fuzzy_extended,97.77777777777777,CARIBOU BIOSCIENCE INC,CRBU,0001619856,21707
bioblast pharma ltd,019772,fuzzy_extended,100.0,BIOBLAST PHARMA LTD,ORPN,,14826
"pdl biopharma, inc",024878,fuzzy_extended,100.0,PDL BIOPHARMA INC,PDLI,0000882104,77292
adicet therapeutics,039508,fuzzy_extended,94.44444444444444,DICE THERAPEUTICS INC,DICE,0001645569,21926
"provectus biopharmaceuticals, inc",009330,fuzzy_extended,100.0,PROVECTUS BIOPHARMACEUTICALS,PVCT,0000315545,68276
"bioage labs, inc",050567,fuzzy_extended,100.0,BIOAGE LABS INC,BIOA,0001709941,25550
blue note therapeutics,155758,fuzzy_extended,100.0,BLUE HOLDINGS INC,BLHI,0001139683,91170
"opexa therapeutics, inc",125531,fuzzy_extended,100.0,OPEXA THERAPEUTICS INC,OPXA,,91471
rhythm diagnostic systems,025013,fuzzy_extended,100.0,PLC SYSTEMS INC,PLCSF,,77568
sonnet biotherapeutics,036356,fuzzy_extended,100.0,SONNET BIOTHERAPEUTICS HOLD,SONN,0001106838,13455
"odonate therapeutics, inc",032795,fuzzy_extended,100.0,ODONATE INC,ODTC,0001717452,17154
spear pharmaceuticals,030368,fuzzy_extended,93.02325581395348,SPARTA PHARMACEUTICALS INC,3SPTA.,0000884019,80663
"vgx pharmaceuticals, llc",165650,fuzzy_extended,94.73684210526315,SGX PHARMACEUTICALS INC,SGXP,0001125603,91101
"chakshu research, inc",009071,fuzzy_extended,100.0,RESEARCH INC,RESRQ,0000216983,66545
"sound surgical technologies, llc",022264,fuzzy_extended,100.0,SURGICAL TECHNOLOGIES INC,SGTI.,,76174
"quintiles, inc",030095,fuzzy_extended,100.0,QUINTILES TRANSNATIONAL CORP,0573B,0000919623,80470
tethis s.p.a,001059,fuzzy_extended,100.0,A P S INC,APS.1,,58958
ondine research laboratories,009071,fuzzy_extended,100.0,RESEARCH INC,RESRQ,0000216983,66545
quoin pharmaceuticals,351038,fuzzy_extended,100.0,QUOIN PHARMACEUTICALS LTD,QNRX,0001671502,16161
painreform ltd,036824,fuzzy_extended,100.0,PAINREFORM LTD,PRFX,0001801834,19840
"centocor research & development, inc",002846,fuzzy_extended,100.0,CENTOCOR INC,CNTO.,0000708823,22016
rex medical,063182,fuzzy_extended,95.65217391304348,TREX MEDICAL CORP,TXM.2,0001003539,83613
sky labs,031137,fuzzy_extended,100.0,SKY PLC,BSY.1,0000932793,81121
american gene technologies international inc,001487,fuzzy_extended,100.0,AMERICAN INTERNATIONAL GROUP,AIG,0000005272,66800
rion inc,010741,fuzzy_extended,94.11764705882354,TRION INC,TRON.,0000099802,77367
the skin center dermatology group,011151,fuzzy_extended,100.0,GROUP INC (THE),THEG,,80603
life molecular imaging gmbh,006719,fuzzy_extended,100.0,LIFE IMAGING CORP,LIFQC,0001105538,49462
smith & nephew medical (shanghai) ltd,101317,fuzzy_extended,100.0,SMITH & NEPHEW PLC,SNN,0000845982,87444
"olix pharmaceuticals, inc",012180,fuzzy_extended,93.61702127659575,OSI PHARMACEUTICALS INC,OSIP,0000729922,10143
"flex pharma, inc",022673,fuzzy_extended,100.0,FLEX PHARMA INC,FLKS,,15177
lipomedix pharmaceuticals inc,028470,fuzzy_extended,92.6829268292683,RA PHARMACEUTICALS INC,RARX,0001481512,16398
"the united bio-technology (hengqin) co., ltd",011151,fuzzy_extended,100.0,GROUP INC (THE),THEG,,80603
"rinovum women's health, inc",010949,fuzzy_extended,92.3076923076923,U S HEALTH INC,USHI,0000726494,79127
the smartpill corporation,011151,fuzzy_extended,100.0,GROUP INC (THE),THEG,,80603
olympus surgical technologies europe,022264,fuzzy_extended,100.0,SURGICAL TECHNOLOGIES INC,SGTI.,,76174
ceribell inc,050525,fuzzy_extended,100.0,CERIBELL INC,CBLL,0001861107,25716
solta medical,175913,fuzzy_extended,100.0,SOLTA MEDICAL INC,SLTM,0001171298,91623
"on-x life technologies, inc",012592,fuzzy_extended,100.0,LIFE TECHNOLOGIES INC,3LTEK,0000727737,10713
lensar incorporated,036929,fuzzy_extended,100.0,LENSAR INC,LNSR,0001320350,19680
leidos life sciences,006721,fuzzy_extended,100.0,LIFE SCIENCES INC,LFSCQ,0000059401,49526
syneurx international (taiwan) corp,005865,fuzzy_extended,92.3076923076923,IU INTERNATIONAL CORP,IU,0000052835,24045
palisade bio,038711,fuzzy_extended,100.0,PALISADE BIO INC,PALI,0001357459,92252
"ambrx, inc",039018,fuzzy_extended,100.0,AMBRX BIOPHARMA INC,AMAM,0001990550,24378
epimmune,024728,fuzzy_extended,100.0,EPIMMUNE INC,EPMN,,77097
immuron ltd,247374,fuzzy_extended,100.0,IMMURON LTD,IMRN,0001660046,16787
the searle company limited pakistan,011151,fuzzy_extended,100.0,GROUP INC (THE),THEG,,80603
"y's therapeutics, inc",034135,fuzzy_extended,94.73684210526315,Y MABS THERAPEUTICS INC,YMAB,0001722964,18133
distribuidora biolife sa de cv,163863,fuzzy_extended,100.0,CV HOLDINGS INC,CVHL,0001330969,91438
hoechst marion roussel,100049,fuzzy_extended,100.0,HOECHST AG,HOE,0000047824,85335
"biota pharmaceuticals, inc",181794,fuzzy_extended,96.15384615384616,BIOSTAR PHARMACEUTICALS INC,BSPM,0001418133,93344
somerset pharmaceuticals,012738,fuzzy_extended,100.0,SOMERSET GROUP INC,SOMR,,10194
"ritter pharmaceuticals, inc",023422,fuzzy_extended,100.0,RITTER PHARMACEUTICALS INC,RTTR,,15436
"carbylan therapeutics, inc",022698,fuzzy_extended,100.0,CARBYLAN THERAPEUTICS INC,CBYL,,15285
"verona pharma, inc., a subsidiary of merck & co., inc. (rahway, new jersey usa",007257,fuzzy_extended,100.0,MERCK & CO,MRK,0000310158,22752
"eqrx international, inc",038187,fuzzy_extended,100.0,EQRX INC,EQRX,0001843762,21277
stryker sustainability solutions,010115,fuzzy_extended,100.0,STRYKER CORP,SYK,0000310764,73139
"kai medical, inc",012227,fuzzy_extended,93.33333333333333,ATI MEDICAL INC,7622B,0000737276,10287
"svelte medical systems, inc",025013,fuzzy_extended,100.0,PLC SYSTEMS INC,PLCSF,,77568
"zai lab (hong kong), ltd",032334,fuzzy_extended,100.0,ZAI LAB LTD,ZLAB,0001704292,16938
zymeworks bc inc,031059,fuzzy_extended,100.0,ZYMEWORKS INC,ZYME,0001937653,16668
castle biosciences incorporated,035396,fuzzy_extended,100.0,CASTLE BIOSCIENCES INC,CSTL,0001447362,18832
"k-group alpha, inc., a wholly owned subsidiary of zentalis pharmaceuticals, inc",036301,fuzzy_extended,100.0,ZENTALIS PHARMACEUTICALS INC,ZNTL,0001725160,19356
air liquide sa,006757,fuzzy_extended,95.23809523809524,LIQUID AIR CORP,LANA,0000059743,49825
biophytis,320061,fuzzy_extended,100.0,BIOPHYTIS SA,BPTSY,0001768946,20579
"juniper pharmaceuticals, inc",014597,fuzzy_extended,100.0,JUNIPER PHARMACEUTICALS INC,JNP,0000821995,12149
stochastic research technologies llc,009071,fuzzy_extended,100.0,RESEARCH INC,RESRQ,0000216983,66545
aco hud nordic ab,007924,fuzzy_extended,100.0,NORDIC LIMITED INC,NORLE,,57825
respirerx,016480,fuzzy_extended,100.0,RESPIRERX PHARMACEUTICALS,RSPI,0000849636,75962
"arrivent biopharma, inc",043861,fuzzy_extended,100.0,ARRIVENT BIOPHARMA INC,AVBP,0001868279,24693
"reproductive research technologies, lp",009071,fuzzy_extended,100.0,RESEARCH INC,RESRQ,0000216983,66545
anderson clinical research,009071,fuzzy_extended,100.0,RESEARCH INC,RESRQ,0000216983,66545
renovorx,039411,fuzzy_extended,100.0,RENOVORX INC,RNXT,0001574094,21875
surgical information sciences inc,113272,fuzzy_extended,100.0,INFORMATION HOLDINGS INC,IHI.1,0001063744,86307
engelhard arzneimittel gmbh & co.kg,004371,fuzzy_extended,100.0,ENGELHARD CORP,EC.2,0000352947,62834
enliven therapeutics,036204,fuzzy_extended,100.0,ENLIVEN THERAPEUTICS INC,ELVN,0001672619,19313
"renalytix ai, inc",329141,fuzzy_extended,100.0,RENALYTIX PLC,RNLXY,0001811115,19570
janux therapeutics,038857,fuzzy_extended,100.0,JANUX THERAPEUTICS INC,JANX,0001817713,21563
"aeon biopharma, inc",037857,fuzzy_extended,100.0,AEON BIOPHARMA INC,AEON,0001837607,21086
"viracta therapeutics, inc",023813,fuzzy_extended,100.0,VIRACTA THERAPEUTICS INC,VIRX,0001061027,90907
cardiol therapeutics inc,034570,fuzzy_extended,100.0,CARDIOL THERAPEUTICS INC,CRDL,0001702123,21836
repare therapeutics,036556,fuzzy_extended,97.29729729729729,REPARE THERAPEUTIC INC,RPTX,0001808158,19491
"aires pharmaceuticals, inc",037495,fuzzy_extended,95.83333333333333,ARS PHARMACEUTICALS INC,SPRY,0001671858,20318
"vincerx pharma, inc",037592,fuzzy_extended,100.0,VINCERX PHARMA INC,VINC,0001796129,19401
pmd solutions,144437,fuzzy_extended,92.3076923076923,PDF SOLUTIONS INC,PDFS,0001120914,89044
johnson & johnson medical (shanghai) ltd,006266,fuzzy_extended,100.0,JOHNSON & JOHNSON,JNJ,0000200406,22111
johnson & johnson k.k. medical company,006266,fuzzy_extended,100.0,JOHNSON & JOHNSON,JNJ,0000200406,22111
tearlab corporation,161071,fuzzy_extended,100.0,TEARLAB CORP,TEAR,0001299139,90488
aradigm corporation,063081,fuzzy_extended,100.0,ARADIGM CORP,ARDMQ,0001013238,83622
tcelltech inc,201088,fuzzy_extended,94.11764705882354,CELLTECH GROUP PLC,CLL,0000877799,87531
"taysha gene therapies, inc",037013,fuzzy_extended,93.61702127659575,TAYSHA GENE THERPS INC,TSHA,0001806310,19847
pharmatech,178106,fuzzy_extended,100.0,WUXI PHARMATECH (CAYMAN)-ADR,WX,0001403132,92258
hummingbird bioscience,028711,fuzzy_extended,100.0,HUMMINGBIRD LTD,HUMC,0000919548,80453
finch research and development llc,009071,fuzzy_extended,100.0,RESEARCH INC,RESRQ,0000216983,66545
arvinas inc,034077,fuzzy_extended,100.0,ARVINAS INC,ARVN,0001655759,18100
"kyowa kirin china pharmaceutical co., ltd",018729,fuzzy_extended,100.0,KIRIN HOLDINGS CO LTD,KNBWY,0000800901,47897
spinchip diagnostics asa,001849,fuzzy_extended,100.0,ASA HOLDINGS INC,ASAI.,0001023944,15684
canbridge life sciences ltd,006721,fuzzy_extended,100.0,LIFE SCIENCES INC,LFSCQ,0000059401,49526
"ltn pharmaceuticals, inc",038664,fuzzy_extended,95.65217391304348,TNF PHARMACEUTICALS INC,TNFA,0001321834,14419
optimal acuity corporation,063857,fuzzy_extended,100.0,OPTIMAL GROUP INC,OPMR,0001015923,84114
lca pharmaceutical,006516,fuzzy_extended,100.0,LCA CORP,LCA.1,,53532
rein therapeutics,031656,fuzzy_extended,100.0,REIN THERAPEUTICS INC,RNTX,0001420565,16776
lapix therapeutics inc,029914,fuzzy_extended,93.02325581395348,LEAP THERAPEUTICS INC,LPTX,0001509745,16542
tenaya therapeutics,039204,fuzzy_extended,100.0,TENAYA THERAPEUTICS INC,TNYA,0001858848,21779
actuate therapeutics inc,045390,fuzzy_extended,100.0,ACTUATE THERAPEUTICS INC,ACTU,0001652935,25392
kineta inc,037588,fuzzy_extended,100.0,KINETA INC,KANT,0001445283,15950
eleison pharmaceuticals llc,031301,fuzzy_extended,93.33333333333333,ELEDON PHARMACEUTICALS INC,ELDN,0001404281,14937
immunoe research centers,009071,fuzzy_extended,100.0,RESEARCH INC,RESRQ,0000216983,66545
inquis clinical research,009071,fuzzy_extended,100.0,RESEARCH INC,RESRQ,0000216983,66545
io biotech,039899,fuzzy_extended,100.0,IO BIOTECH INC,IOBT,0001865494,22312
envoy medical corporation,038030,fuzzy_extended,100.0,ENVOY MEDICAL INC,COCH,0001840877,21019
kensey nash corporation,061703,fuzzy_extended,100.0,KENSEY NASH CORP,KNSY,0001002811,82717
"relay therapeutics, inc",036677,fuzzy_extended,100.0,RELAY THERAPEUTICS INC,RLAY,0001812364,19501
anaconda biomed s.l,001628,fuzzy_extended,100.0,ANACONDA CO,A.2,,10495
"artiva biotherapeutics, inc",038617,fuzzy_extended,100.0,ARTIVA BIOTHERAPEUTICS INC,ARTV,0001817241,25327
bionova pharmaceuticals (shanghai) ltd,063674,fuzzy_extended,100.0,BIONOVA HOLDING CORP,BVAH,0001020866,83930
"cellmed ag, a subsidiary of btg plc",031194,fuzzy_extended,100.0,BTG INC,BTGI.,0000932279,81146
"jade biosciences, inc",038987,fuzzy_extended,100.0,JADE BIOSCIENCES INC,JBIO,0001798749,21518
"biodesix, inc",037134,fuzzy_extended,100.0,BIODESIX INC,BDSX,0001439725,19948
"promentis pharmaceuticals, inc",028470,fuzzy_extended,92.6829268292683,RA PHARMACEUTICALS INC,RARX,0001481512,16398
sequus pharmaceuticals,013393,fuzzy_extended,100.0,SEQUUS PHARMACEUTICALS INC,SEQU.1,0000812444,11346
"treace medical concepts, inc",038558,fuzzy_extended,92.0,TREACE MEDIC CNCPTS INC,TMCI,0001630627,21105
aerogen pharma limited,141097,fuzzy_extended,100.0,AEROGEN INC,3AEGN,0001039160,88785
acura pharmaceuticals inc,011929,fuzzy_extended,100.0,ACURA PHARMACEUTICALS INC,ACUR,0000786947,10116
"crown laboratories, inc",025273,fuzzy_extended,100.0,CROWN LABORATORIES INC/DE,CLWB,0000847385,80383
"modex therapeutics, an opko health company",061490,fuzzy_extended,100.0,OPKO HEALTH INC,OPK,0000944809,82567
genelabs technologies,024179,fuzzy_extended,100.0,GENELABS TECHNOLOGIES INC,GNLB,0000874443,76699
greenbone ortho s.p.a,001059,fuzzy_extended,100.0,A P S INC,APS.1,,58958
"westlake pharmaceuticals (hangzhou) co., ltd",160684,fuzzy_extended,100.0,WESTLAKE CORP,WLK,0001262823,90312
"salarius pharmaceuticals, llc",035477,fuzzy_extended,100.0,SALARIUS PHARMACEUTICALS INC,SLRX,0001615219,15177
groupe sebbin,064146,fuzzy_extended,100.0,GROUPE AB SA,ABG.2,0001027077,84368
creative medical technology holdings inc,025773,fuzzy_extended,100.0,CREATIVE TECHNOLOGY LTD,CREAF,0000888295,78775
curagen corporation,066698,fuzzy_extended,100.0,CURAGEN CORP,CRGN,0001030653,85864
"apexigen america, inc",036869,fuzzy_extended,100.0,APEXIGEN INC,APGN,0001814140,20574
probiotical s.p.a,001059,fuzzy_extended,100.0,A P S INC,APS.1,,58958
uni-pharma kleon tsetis pharmaceutical laboratories s.a,118444,fuzzy_extended,93.33333333333333,U S LABORATORIES INC,USLB.1,0001068891,86737
cv technologies,163863,fuzzy_extended,100.0,CV HOLDINGS INC,CVHL,0001330969,91438
q32 bio inc,033240,fuzzy_extended,100.0,Q32 BIO INC,QTTB,0001661998,17358
"vividion therapeutics, inc",030311,fuzzy_extended,92.0,VIRIDIAN THERAPEUTICS INC,VRDN,0001590750,14708
nordic nanovector,007924,fuzzy_extended,100.0,NORDIC LIMITED INC,NORLE,,57825
exscientia ai limited,039636,fuzzy_extended,100.0,EXSCIENTIA PLC,EXAI,0001865408,22203
"nordic pharma, usa",007924,fuzzy_extended,100.0,NORDIC LIMITED INC,NORLE,,57825
"tnf pharmaceuticals, inc",038664,fuzzy_extended,100.0,TNF PHARMACEUTICALS INC,TNFA,0001321834,14419
evasc medical systems corp,025013,fuzzy_extended,100.0,PLC SYSTEMS INC,PLCSF,,77568
"zimmer, gmbh",011685,fuzzy_extended,100.0,ZIMMER CORP,ZIM.1,0000109336,46826
"verve therapeutics, inc",038908,fuzzy_extended,100.0,VERVE THERAPEUTICS INC,VERV,0001840574,21589
"nkarta, inc",036642,fuzzy_extended,100.0,NKARTA INC,NKTX,0001787400,19499
indena s.p.a,001059,fuzzy_extended,100.0,A P S INC,APS.1,,58958
guna s.p.a,001059,fuzzy_extended,100.0,A P S INC,APS.1,,58958
tr therapeutics,034600,fuzzy_extended,93.75,TCR2 THERAPEUTICS INC,TCRR,0001750019,18415
allurion technologies,037819,fuzzy_extended,100.0,ALLURION TECHNOLOGIES INC,ALUR,0001964979,24086
alpha - bio tec ltd,010276,fuzzy_extended,100.0,TEC INC,TCK.1,,59790
"nanostring technologies, inc",018009,fuzzy_extended,100.0,NANOSTRING TECHNOLOGIES INC,NSTGQ,0001401708,13962
coaptech,002741,fuzzy_extended,93.33333333333333,CAPTECH INC,CPTH.,0000201374,21312
"vaxxinity, inc",039868,fuzzy_extended,100.0,VAXXINITY INC,VAXX,0001851657,22351
"conbio, a cynosure company",164664,fuzzy_extended,100.0,CYNOSURE INC,CYNO,0000885306,91020
beijing union pharmaceutical factory ltd,010859,fuzzy_extended,100.0,UNION CORP,UCO.,0000100817,44433
globeimmune,012257,fuzzy_extended,100.0,GLOBEIMMUNE INC,GBIM,0001245104,14801
"glock health, science and research gmbh",009071,fuzzy_extended,100.0,RESEARCH INC,RESRQ,0000216983,66545
perspective therapeutics,012818,fuzzy_extended,100.0,PERSPECTIVE THERAPEUTICS INC,CATX,0000728387,22323
"genprex, inc",032254,fuzzy_extended,100.0,GENPREX INC,GNPX,0001595248,17360
"geovax, inc",024966,fuzzy_extended,100.0,GEOVAX LABS INC,GOVX,0000832489,19832
"neuraltus pharmaceuticals, inc",028470,fuzzy_extended,92.6829268292683,RA PHARMACEUTICALS INC,RARX,0001481512,16398
gibson institute of cognitive research,009071,fuzzy_extended,100.0,RESEARCH INC,RESRQ,0000216983,66545
"akorn, inc",014304,fuzzy_extended,100.0,AKORN OPERATING COMPANY LLC,AKRXQ,0000003116,10180
perrigo nutritionals,024782,fuzzy_extended,100.0,PERRIGO CO PLC,PRGO,0001585364,77182
"navitor pharmaceuticals, inc",028470,fuzzy_extended,92.6829268292683,RA PHARMACEUTICALS INC,RARX,0001481512,16398
"gentuity, llc",137357,fuzzy_extended,93.33333333333333,GENUITY INC,GENUQ,0001110794,88345
"cognito therapeutics, inc",039290,fuzzy_extended,96.0,COGNITION THERAPEUTICS INC,CGTX,0001455365,22194
turtle shell technologies pvt. ltd,012384,fuzzy_extended,100.0,SHELL PLC,SHEL,0001306965,90794
"seelos therapeutics, inc",034709,fuzzy_extended,100.0,SEELOS THERAPEUTICS INC,SEELQ,0001017491,88177
blue marble rehab inc,155758,fuzzy_extended,100.0,BLUE HOLDINGS INC,BLHI,0001139683,91170
genitope corporation,155615,fuzzy_extended,100.0,GENITOPE CORP,GTOPQ,0001028358,89865
"accelerate diagnostics, inc",021118,fuzzy_extended,100.0,ACCELERATE DIAGNOSTICS INC,AXDXQ,0000727207,84184
"neurotrope bioscience, inc",018638,fuzzy_extended,100.0,NEUROTROPE INC,NTRP.,0001513856,16639
"grand theravac life sciences (nanjing) co., ltd",006721,fuzzy_extended,100.0,LIFE SCIENCES INC,LFSCQ,0000059401,49526
"tvardi therapeutics, incorporated",019154,fuzzy_extended,100.0,TVARDI THERAPEUTICS INC,TVRD,0001346830,14422
"nacuity pharmaceuticals, inc",028470,fuzzy_extended,92.6829268292683,RA PHARMACEUTICALS INC,RARX,0001481512,16398
"convergent engineering, inc",003485,fuzzy_extended,100.0,CONVERGENT INC,CVGT,0000810906,27036
"neuronetrix, inc",160488,fuzzy_extended,93.33333333333333,NEUROMETRIX INC,NURO,0001289850,90288
nls pharmaceutics,036276,fuzzy_extended,100.0,NLS PHARMACEUTICS LTD,NLSP,0001783036,20442
"tricida, inc",033600,fuzzy_extended,100.0,TRICIDA INC,TCDAQ,0001595585,17900
"belite bio, inc",034025,fuzzy_extended,100.0,BELITE BIO INC -ADR,BLTE,0001889109,23010
prosomnus sleep technologies,038648,fuzzy_extended,100.0,PROSOMNUS INC,OSAPQ,0001934064,23627
