lead_sponsor_name,orig_conm,drop_sic,n_trials
"Illumina, Inc.",ILLUMINA INC,3826,12
3M,3M CO,3841,12
PROCEPT BioRobotics,PROCEPT BIOROBTCS CORP,3841,12
JW Medical Systems Ltd,PLC SYSTEMS INC,3845,12
Apple Inc.,APPLE INC,3571,12
Siemens Molecular Imaging,SIEMENS AG,3600,12
"Entellus Medical, Inc.",ENTELLUS MEDICAL INC,3841,11
"ESM Technologies, LLC",EMS TECHNOLOGIES INC,3663,11
Haemonetics Corporation,HAEMONETICS CORP,3841,11
"VisionCare, Inc.",WESLEY JESSEN VISIONCARE INC,3851,11
Medtronic Cardiac Surgery,MEDTRONIC PLC,3845,11
"Rhodes Pharmaceuticals, L.P.",RHODES INC,5712,11
Motus GI Medical Technologies Ltd,MOTUS GI HOLDINGS INC,3841,11
Helius Medical Inc,HELIUS MEDICAL TECHNOLOGIES,6199,11
"AST Products, Inc.",ATL PRODUCTS INC,3572,11
Momentum Data,MOMENTUM CORP,6211,11
Asana BioSciences,ASANA INC,7372,11
"Senseonics, Inc.",SENSEONICS HLDGS INC,3823,11
Delcath Systems Inc.,DELCATH SYSTEMS INC,3841,11
DePuy Spine,DEPUY INC,3842,11
Nanogen Pharmaceutical Biotechnology Joint Stock Company,NANOGEN INC,3826,11
Apyx Medical,APYX MEDICAL CORP,3841,10
"TriVascular, Inc.",TRIVASCULAR TECHNOLOGIES INC,3841,10
CSL Limited,CSL LIGHTING MFG INC,3640,10
Altria Client Services LLC,ALTRIA GROUP INC,2111,10
"Owlet Baby Care, Inc.",OWLET INC,3829,10
Canopy Growth Corporation,CANOPY GROWTH CORP,2833,10
"Progyny, Inc.",PROGYNY INC,8090,10
Quantum Genomics SA,QUANTUM CORP,3572,10
"Barron Associates, Inc.",AG ASSOCIATES INC,3559,10
Beyond Air Inc.,BEYOND AIR INC,3841,10
IDEA AG,AMTD IDEA GROUP,6199,10
Silk Road Medical,SILK ROAD MEDICAL INC,3841,10
"Disc Medicine, Inc",DISC INC,3572,10
Dentsply International,DENTSPLY INTERNATIONAL INC,3843,10
UNION therapeutics,UNION CORP,7320,10
Stereotaxis,STEREOTAXIS INC,3845,10
Nevro Corp,NEVRO CORP,3841,10
Blue Earth Diagnostics,BLUE EARTH INC,4991,10
"Vapotherm, Inc.",VAPOTHERM INC,3841,10
"SPR Therapeutics, Inc.",SPR INC,7370,10
Teleflex,TELEFLEX INC,3841,10
"Cerenovus, Part of DePuy Synthes Products, Inc.",DEPUY INC,3842,9
Cepheid,CEPHEID INC,3826,9
"Guardant Health, Inc.",GUARDANT HEALTH INC,8071,9
Integra LifeSciences Services,INTEGRA INC,8093,9
Check-Cap Ltd.,CHECK-CAP LTD,3844,9
Concept Medical Inc.,CONCEPT INC,3845,9
Dow Pharmaceutical Sciences,DOW INC,2821,9
be Medical,BE INC,7373,9
"CytoSorbents, Inc",CYTOSORBENTS CORP,3841,9
Shanghai Golden Leaf MedTec Co. Ltd,LEAF GROUP LTD,7374,9
SRI International,SI INTERNATIONAL INC,7373,9
"SeaSpine, Inc.",SEASPINE HOLDINGS CORP,3841,9
Axogen Corporation,AXOGEN INC,3845,9
"RxSight, Inc.",RXSIGHT INC,3851,9
Vifor Fresenius Medical Care Renal Pharma,FRESENIUS MEDICAL CARE AG,8090,9
Zynex Monitoring Solutions,ZYNEX INC,3845,9
"Banyan Biomarkers, Inc",BANYAN CORP,2300,9
American Medical Systems,AMERICAN MEDICAL HOLDINGS,8060,9
Antares Pharma Inc.,ANTARES PHARMA INC,3841,9
NovoCure GmbH,NOVOCURE LIMITED,3841,9
"Axonics, Inc.",AXONICS INC,3841,9
"Nuwellis, Inc.",NUWELLIS INC,3845,9
NeuroPace,NEUROPACE INC,3841,8
"Apollo Endosurgery, Inc.",APOLLO ENDOSURGERY INC,3841,8
AGO Research GmbH,RESEARCH INC,3567,8
Paragon 28,PARAGON 28 INC,3841,8
"Shanghai Yidian Pharmaceutical Technology Development Co., Ltd.",TECHNOLOGY DEVELOPMENT CORP,3825,8
LeMaitre Vascular,LEMAITRE VASCULAR INC,3841,8
Adagio Medical,ADAGIO MEDICAL HOLDINGS INC,3841,8
Hudson Biotech,HUDSON LTD,5399,8
"Avinger, Inc.",AVINGER INC,3841,8
"Cala Health, Inc.",CALA CORP,5812,8
"GRAIL, Inc.",GRAIL INC,8071,8
Danone Nutricia,DANONE SA,2000,8
InspireMD,INSPIREMD INC,3841,8
USANA Health Sciences,USANA HEALTH SCIENCES INC,2833,8
"Alphatec Spine, Inc.",ALPHATEC HOLDINGS INC,3841,8
Medtronic Spine LLC,MEDTRONIC PLC,3845,8
LifeCell,LIFECELL CORP,3841,8
PolyPid Ltd.,POLYPID LTD,3841,7
Infinite Biomedical Technologies,INFINITE GROUP INC,7372,7
Soliton,SOLITON INC,3841,7
DJO UK Ltd,DJO INC,3842,7
"K2M, Inc.",K2M GROUP HOLDINGS INC,3841,7
"Presidio Pharmaceuticals, Inc.",PRESIDIO INC,5045,7
"Beijing Inno Medicine Co., Ltd.",INNO HOLDINGS INC,3317,7
Nova Biomedical,NOVA LTD,3827,7
UnitedHealth Group,UNITEDHEALTH GROUP INC,6324,7
T2 Biosystems,T2 BIOSYSTEMS INC,3841,7
"National Health Promotion Associates, Inc.",AG ASSOCIATES INC,3559,7
Fractyl Health Inc.,FRACTYL HEALTH INC,3841,7
Artivion Inc.,ARTIVION INC,3841,7
Nyxoah S.A.,NYXOAH S A,3841,7
"Cerus Endovascular, Inc.",CERUS CORP,3841,7
"SurModics, Inc.",SURMODICS INC,3841,7
Applied Spectral Imaging Ltd.,APPLIED IMAGING CORP,3841,7
SeaStar Medical,SEASTAR MEDICAL HOLDING CORP,3841,7
Pharmacia,PHARMACIA CORP,2800,7
Vascular Solutions LLC,VASCULAR SOLUTIONS INC,3841,7
Imperial Brands PLC,IMPERIAL BRANDS PLC,2100,7
"Bluejay Diagnostics, Inc.",BLUEJAY DIAGNOSTICS INC,3841,7
Luminex Corporation,LUMINEX CORP,3841,7
Anteris Technologies Ltd.,ANTERIS TECHNOLOGIES GLBL CP,3842,6
Accenture,ACCENTURE PLC,7389,6
"Baxano Surgical, Inc.",BAXANO SURGICAL INC,3841,6
"EBR Systems, Inc.",PLC SYSTEMS INC,3845,6
Stryker Craniomaxillofacial,STRYKER CORP,3841,6
Vascular Graft Solutions Ltd.,VASCULAR SOLUTIONS INC,3841,6
Accuray Incorporated,ACCURAY INC,3841,6
"Obalon Therapeutics, Inc.",OBALON THERAPEUTICS INC,3841,6
Beam Therapeutics Inc.,BEAM INC,2080,6
"Align Technology, Inc.",ALIGN TECHNOLOGY INC,3842,6
Abt Associates,AG ASSOCIATES INC,3559,6
"Minerva Surgical, Inc.",MINERVA SURGICAL INC,3841,6
Stryker Japan K.K.,STRYKER CORP,3841,6
"Medifast, Inc.",MEDIFAST INC,2090,6
"Medco Health Solutions, Inc.",MEDCO HEALTH SOLUTIONS INC,5912,6
"Thryv Therapeutics, Inc.",THRYV HOLDINGS INC,7310,6
Stryker Instruments,STRYKER CORP,3841,6
Femasys Inc.,FEMASYS INC,3841,6
"Pioneer Surgical Technology, Inc.",PIONEER CORP,3651,6
MD Stem Cells,STEM INC,7373,6
Ingredion Incorporated,INGREDION INC,2040,6
Wex Pharmaceuticals Inc.,WEX INC,7389,6
"Rock Creek Pharmaceuticals, Inc.",ROCK CREEK PHARMACEUTICALS,2833,6
Savient Pharmaceuticals,SAVIENT PHARMACEUTICALS INC,2833,6
Angiotech Pharmaceuticals,ANGIOTECH PHARMACEUTICALS,3841,6
Kenvue Brands LLC,KENVUE INC,2844,6
BioMimetic Therapeutics,BIOMIMETIC THERAPEUTICS INC,3841,6
Science Corporation,AMERICAN SCIENCE ENGINEERING,3844,6
Reckitt Benckiser Inc.,BENCKISER NV,2840,6
Volta Medical,VOLTA INC,3790,6
Newport Pharmaceuticals International,NEWPORT CORP,3821,6
Smart Alfa Teknoloji San. ve Tic. A.S.,ALFA CORP,6331,6
Fitbit LLC,FITBIT INC,3571,5
IceCure Medical Ltd.,ICECURE MEDICAL LTD,3841,5
GW Research Ltd,RESEARCH INC,3567,5
"GT Medical Technologies, Inc.",BIOJECT MEDICAL TECHNOLOGIES,3841,5
"Endeavor Biomedicines, Inc.",ENDEAVOR GROUP HOLDINGS,7900,5
"Genomic Health®, Inc.",GENOMIC HEALTH INC,8071,5
"Spire, Inc.",SPIRE INC,4924,5
"Gwo Xi Stem Cell Applied Technology Co., Ltd.",STEM INC,7373,5
Stryker South Pacific,STRYKER CORP,3841,5
"SpyGlass Pharma, Inc.",SPYGLASS INC,7372,5
Staar Surgical Company,STAAR SURGICAL CO,3851,5
Inogen Inc.,INOGEN INC,3842,5
Innervate Radiopharmaceuticals LLC (Formerly: Illumina Radiopharmaceuticals LLC),ILLUMINA INC,3826,5
General Mills,GENERAL MILLS INC,2040,5
Emerald Clinical Inc.,EMERALD HOLDING INC,7389,5
Celcuity Inc,CELCUITY INC,8071,5
"CDA Research Group, Inc.",RESEARCH INC,3567,5
"Shandong Qilu Stem Cells Engineering Co., Ltd.",STEM INC,7373,5
"Metro International Biotech, LLC",METRO INTERNATIONAL SA,2711,5
"Boston Intelligent Medical Research Center, Shenzhen United Scheme Technology Co., Ltd.",BOSTON TECHNOLOGY INC,3661,5
Blue Note Therapeutics,BLUE HOLDINGS INC,2300,5
Better Therapeutics,BETTER THERAPEUTICS INC,8000,5
"Nielsen BioSciences, Inc.",NIELSEN HOLDINGS PLC,7389,5
Nova Laboratories Limited,NOVA LTD,3827,5
BSP Biological Signal Processing Ltd.,SIGNAL CORP,6035,5
Nova Pneuma Inc.,NOVA LTD,3827,5
"Vedanta Biosciences, Inc.",VEDANTA LTD,1000,5
"On Target Laboratories, LLC",TARGET CORP,5331,5
Reunion Neuroscience Inc,REUNION NEUROSCIENCE INC,8000,5
Outset Medical,OUTSET MEDICAL INC,3845,5
Viveve Inc.,VIVEVE MEDICAL INC,3845,5
Perfect Care Distribution,PERFECT CORP,7372,5
"Water Pik, Inc.",WATER PIK TECHNOLOGIES INC,3634,5
"Remedy Pharmaceuticals, Inc.",REMEDY CORP,7372,5
Plus Therapeutics,PLUS THERAPEUTICS INC,3841,5
"Prism Pharma Co., Ltd.",PRISM GROUP INC,7370,5
A.M.I. Agency for Medical Innovations GmbH,MEDICAL INNOVATIONS INC,8082,5
"Toshiba America Medical Systems, Inc.",TOSHIBA CORP,3570,5
Myomo,MYOMO INC,3842,5
Laboratoire Innotech International,INNOTECH INC,3827,5
Lyra Therapeutics,LYRA THERAPEUTICS INC,3841,5
Tela Bio Inc,TELA BIO INC,3841,5
"JC Medical, Inc., an affiliate of Edwards Lifesciences LLC",EDWARDS LIFESCIENCES CORP,3842,5
Invitae Corporation,INVITAE CORP,8071,5
Ekso Bionics,EKSO BIONICS HOLDINGS INC,3569,5
Taris Biomedical LLC,TALIS BIOMEDICAL CORP,3826,5
"Lineage Cell Therapeutics, Inc.",LINEAGE INC,6798,5
Lombard Medical,LOMBARD MEDICAL TECH PLC,3841,5
"Lucid Diagnostics, Inc.",LUCID DIAGNOSTICS INC,3841,5
Conor Medsystems,CONOR MEDSYSTEMS INC,3841,5
"Magna Pharmaceuticals, Inc.",MAGNA GROUP INC,6021,5
Materialise,MATERIALISE NV,7372,5
Mazor Robotics,MAZOR ROBOTICS LTD,3841,5
"China Resources Sanjiu Medical & Pharmaceutical Co., Ltd.",MEDICAL RESOURCES INC,8071,5
Quantum Beauty Kozmetik,QUANTUM CORP,3572,4
Groupe SEBBIN,GROUPE AB SA,7812,4
PMD Solutions,PDF SOLUTIONS INC,7372,4
Quantum Biopharma,QUANTUM CORP,3572,4
ProSomnus Sleep Technologies,PROSOMNUS INC,3841,4
"PriCara, Unit of Ortho-McNeil, Inc.",UNIT CORP,1311,4
Pharma Holdings AS,FORWARD PHARMA AS,8880,4
Quantum Surgical,QUANTUM CORP,3572,4
"Renalytix AI, Inc.",RENALYTIX PLC,8071,4
"Kai Medical, Inc.",ATI MEDICAL INC,7350,4
Kensey Nash Corporation,KENSEY NASH CORP,3841,4
Medtronic Corporate Technologies and New Ventures,MEDTRONIC PLC,3845,4
Smith & Nephew Medical (Shanghai) Ltd,SMITH & NEPHEW PLC,3842,4
Sky Labs,SKY PLC,8880,4
Rex Medical,TREX MEDICAL CORP,3844,4
Optimal Acuity Corporation,OPTIMAL GROUP INC,7389,4
Medtronic Italia,MEDTRONIC PLC,3845,4
OM Pharma SA,OM GROUP INC,3990,4
Rogers Sciences Inc.,ROGERS CORP,2821,4
LensAR Incorporated,LENSAR INC,3841,4
"Novadaq Technologies ULC, now a part of Stryker",NOVADAQ TECHNOLOGIES INC,3845,4
"NovaDigm Therapeutics, Inc.",NOVADIGM INC,7372,4
Hoechst Marion Roussel,HOECHST AG,8880,4
Solta Medical,SOLTA MEDICAL INC,3845,4
Hummingbird Bioscience,HUMMINGBIRD LTD,7372,4
"Sichuan J.Z. Bio-chemical Science and Technology Development Co., Ltd",TECHNOLOGY DEVELOPMENT CORP,3825,4
"Shenzhen Raysight Intelligent Medical Technology Co., Ltd.",INTELLIGENT GROUP LTD,8742,4
Stryker Sustainability Solutions,STRYKER CORP,3841,4
"iRhythm Technologies, Inc.",IRHYTHM TECHNOLOGIES INC,3841,4
Animas Corporation,ANIMAS CORP,3842,4
