lead_sponsor_name,orig_conm,drop_sic,n_trials
Hospital at Home AG,AT HOME CORP,7370,1
Home Access Health Corporation,ACCESS HEALTH INC,8090,1
Medidata Solutions,MEDIDATA SOLUTIONS INC,7372,1
Holly Risdon,HOLLY HOLDINGS INC,2540,1
Hercules,HERCULES INC,2890,1
"Helix, Inc",HELIX TECHNOLOGY CORP,3559,1
Heights,HEIGHTS FINANCE CORP,6141,1
"Harbinger Medical, Inc.",HARBINGER CORP,7370,1
"Habit, LLC",HABIT RESTAURANTS INC (THE),5812,1
HEM Research,RESEARCH INC,3567,1
H'ability,ABILITY INC,3669,1
Guangzhou Saliai Stem Cell Science and Technology Co. Ltd.,STEM INC,7373,1
Groupe Éthique et Santé,GROUPE AB SA,7812,1
Groupe Mulliez-Flory,GROUPE AB SA,7812,1
Groupe Kolmi Hopen,GROUPE AB SA,7812,1
Groupe De Recherche En Rhumatologie Et Maladies Osseuses Inc.,GROUPE AB SA,7812,1
Indigo Therapeutics,INDIGO NV,3555,1
"Innova Vascular, Inc.",INNOVA CORP,3663,1
Intelligent Medical Implants GmbH,INTELLIGENT GROUP LTD,8742,1
"Jason Ahee, M.D.",JASON INC,3443,1
Medicines Evaluation Unit Ltd,UNIT CORP,1311,1
"McCormick and Company, Inc.",MCCORMICK & CO INC,2090,1
Mark Stanczyk,MARK HOLDINGS INC,3448,1
Marcus Borchert,MARCUS CORP,7830,1
Magellan Stem Cells,STEM INC,7373,1
MSK Doctors & Associates Ltd,AG ASSOCIATES INC,3559,1
"MGP Ingredients, Inc.",MGP INGREDIENTS INC,5180,1
MDI Health,MDI INC,3861,1
MAKO Surgical Corp.,MAKO SURGICAL CORP,3842,1
Lucy Coleman,COLEMAN CO INC,3634,1
Livongo Health,LIVONGO HEALTH INC,7370,1
Linde AG,LINDE PLC,2810,1
Libra At Home LTD,AT HOME CORP,7370,1
Let's Disco,DISCO SA,5411,1
"Leaf Healthcare, Inc.",LEAF GROUP LTD,7374,1
Laser team Ltd,TEAM INC,7600,1
Laser LabCorp,LABCORP HOLDINGS INC,8071,1
Labtec GmbH,LABTEC INC,3577,1
Laboratori di Informatica Applicata,INFORMATICA INC,7372,1
"Labcorp Corporation of America Holdings, Inc",LABCORP HOLDINGS INC,8071,1
Kraft Heinz Company,KRAFT HEINZ CO,2030,1
Kerr Corporation,KERR GROUP INC,3089,1
"Kansas City Center for Anxiety Treatment, P.A.",CITY HOLDING CO,6021,1
KaVo Kerr,KERR GROUP INC,3089,1
"KORU Medical Systems, Inc.",KORU MEDICAL SYSTEMS INC,3841,1
"KLSMC Stem Cells, Inc.",STEM INC,7373,1
Jeffrey Clarke,CLARKE CORP,3250,1
Lion Corporation,RED LION INNS  -LP,7011,1
